Year,Team,Odds
2020,Davidson College Wildcats,100000
2020,Dayton Flyers,100000
2020,DePaul Blue Demons,100000
2020,Florida International Panthers,100000
2020,Georgia Tech Yellow Jackets,100000
2020,Grand Canyon Antelope,100000
2020,Harvard Crimson,100000
2020,Liberty University Flames,100000
2020,Lipscomb Bison,100000
2020,Loyola-Chicago Ramblers,100000
2020,Maryland-Baltimore County Retrievers,100000
2020,Miami-Ohio Redhawks,100000
2020,Murray State Racers,100000
2020,North Carolina-Charlotte 49ers,100000
2020,Northern Iowa Panthers,100000
2020,Old Dominion Monarchs,100000
2020,Pennsylvania Quakers,100000
2020,Prairie View A&M Panthers,100000
2020,Rhode Island Rams,100000
2020,San Francisco Dons,100000
2020,UNLV Rebels,100000
2020,Wake Forest Demon Deacons,100000
2020,Washington State Cougars,100000
2020,Weber State Wildcats,100000
2020,Western Kentucky Hilltoppers,100000
2020,Yale Bulldogs,100000
2020,Alabama-Birmingham Blazers,200000
2020,Austin Peay State Governors,200000
2020,Ball State Cardinals,200000
2020,Bowling Green State Falcons,200000
2020,Bradley Braves,200000
2020,California State-Long Beach 49ers,200000
2020,Central Michigan Chippewas,200000
2020,Coastal Carolina Chanticleers,200000
2020,Colorado State Rams,200000
2020,Drake Bulldogs,200000
2020,Duquesne Dukes,200000
2020,East Tennessee State Buccaneers,200000
2020,Florida Atlantic Owls,200000
2020,Furman  Paladins,200000
2020,Gardner Webb Runnin Bulldogs,200000
2020,George Mason Patriots,200000
2020,Georgia Southern Eagles,200000
2020,Georgia State Panthers,200000
2020,Hawaii Rainbow Warriors,200000
2020,Hofstra Pride,200000
2020,Iona Gaels,200000
2020,Jackson State Tigers,200000
2020,Kent State Golden Flashes,200000
2020,La Salle Explorers,200000
2020,Lafayette College Leopards,200000
2020,Louisiana Tech Bulldogs,200000
2020,Louisiana-Monroe Warhawks,200000
2020,Loyola-Marymount Lions,200000
2020,Marshall Thundering Herd,200000
2020,Montana Grizzlies,200000
2020,North Carolina-Greensboro Spartans,200000
2020,North Texas Mean Green Eagles,200000
2020,Northeastern Huskies,200000
2020,Northern Kentucky Norse,200000
2020,Oakland Golden Grizzlies,200000
2020,Princeton Tigers,200000
2020,Richmond Spiders,200000
2020,Saint Johns Red Storm,200000
2020,San Diego Toreros,200000
2020,South Dakota State Jackrabbits,200000
2020,Southern Mississippi Golden Eagles,200000
2020,Texas State Bobcats,200000
2020,Texas-El Paso Miners,200000
2020,Texas-San Antonio Roadrunners,200000
2020,Toledo Rockets,200000
2020,Tulsa Golden Hurricane,200000
2020,Utah Utes,200000
2020,Utah Valley Wolverines,200000
2020,Valparaiso Crusaders,200000
2020,Vermont Catamounts,200000
2020,William & Mary Tribe,200000
2020,Wright State Raiders,200000
2020,Air Force Falcons,999999
2020,Akron Zips,999999
2020,Alcorn State Braves,999999
2020,American Eagles,999999
2020,Appalachian State Mountaineers,999999
2020,Arkansas State Red Wolves,999999
2020,Army Black Knights,999999
2020,Bethune Cookman Wildcats,999999
2020,Binghamton Bearcats,999999
2020,Boston University Terriers,999999
2020,Brown Bears,999999
2020,Bryant University Bulldogs,999999
2020,Butler Bulldogs,999999
2020,Cal Poly-Slo Mustangs,999999
2020,California Baptist Lancers,999999
2020,California State-Bakersfield Roadrunners,999999
2020,California State-Fullerton Titans,999999
2020,California State-Northridge Matadors,999999
2020,California State-Sacramento Hornets,999999
2020,California-Davis Aggies,999999
2020,California-Riverside Highlanders,999999
2020,California-Santa Barbara Gauchos,999999
2020,Campbell Fighting Camels,999999
2020,Canisius Golden Griffins,999999
2020,Central Arkansas Bears,999999
2020,Central Connecticut State Blue Devils,999999
2020,Chicago State Cougars,999999
2020,Citadel Bulldogs,999999
2020,Cleveland State Vikings,999999
2020,Colgate Red Raiders,999999
2020,College of Charleston Cougars,999999
2020,Columbia Lions,999999
2020,Coppin State Eagles,999999
2020,Cornell Big Red,999999
2020,Dartmouth College Big Green,999999
2020,Delaware Blue Hens,999999
2020,Delaware State Hornets,999999
2020,Denver Pioneers,999999
2020,Detroit-Mercy Titans,999999
2020,Drexel Dragons,999999
2020,East Carolina Pirates,999999
2020,Eastern Illinois Panthers,999999
2020,Eastern Kentucky Colonels,999999
2020,Eastern Michigan Eagles,999999
2020,Eastern Washington Eagles,999999
2020,Elon Phoenix,999999
2020,Evansville Aces,999999
2020,Fairfield Stags,999999
2020,Fairleigh Dickinson-Metropolitan Knights,999999
2020,Florida A&M Rattlers,999999
2020,Florida Gulf Coast Eagles,999999
2020,Fordham Rams,999999
2020,George Washington Colonials,999999
2020,Grambling State Tigers,999999
2020,Hampton University Pirates,999999
2020,Hartford Hawks,999999
2020,High Point Panthers,999999
2020,Holy Cross Crusaders,999999
2020,Houston Baptist Huskies,999999
2020,Howard Bison,999999
2020,Idaho State Bengals,999999
2020,Idaho Vandals,999999
2020,Illinois State Redbirds,999999
2020,Illinois-Chicago Flames,999999
2020,Incarnate Word Cardinals,999999
2020,Indiana State Sycamores,999999
2020,Indiana-Purdue Jaguars,999999
2020,IUPU-Fort Wayne Mastadons,999999
2020,Jacksonville Dolphins,999999
2020,Jacksonville State Gamecocks,999999
2020,James Madison Dukes,999999
2020,Kennesaw State Owls,999999
2020,Lamar Cardinals,999999
2020,Lehigh Mountain Hawks,999999
2020,Long Island Brooklyn Blackbirds,999999
2020,Longwood Lancers,999999
2020,Louisiana-Lafayette Ragin Cajuns,999999
2020,Loyola-Maryland Greyhounds,999999
2020,Maine Black Bears,999999
2020,Manhattan Jaspers,999999
2020,Marist Red Foxes,999999
2020,Maryland-Eastern Shore Hawks,999999
2020,Massachusetts Minutemen,999999
2020,Massachusetts-Lowell River Hawks,999999
2020,McNeese State Cowboys,999999
2020,Mercer Bears,999999
2020,Merrimack Warriors,999999
2020,Mississippi Valley State Delta Devils,999999
2020,Missouri-Kansas City Kangaroos,999999
2020,Monmouth-New Jersey Hawks,999999
2020,Montana State Bobcats,999999
2020,Morehead State Eagles,999999
2020,Morgan State Bears,999999
2020,Navy Midshipmen,999999
2020,Nebraska-Omaha Mavericks,999999
2020,New Hampshire Wildcats,999999
2020,New Jersey Tech Highlanders,999999
2020,New Orleans Privateers,999999
2020,Niagara Purple Eagles,999999
2020,Nicholls State Colonels,999999
2020,Norfolk State Spartans,999999
2020,North Alabama Lions,999999
2020,North Carolina A&T Aggies,999999
2020,North Carolina Central Eagles,999999
2020,North Carolina-Asheville Bulldogs,999999
2020,North Carolina-Wilmington Seahawks,999999
2020,North Dakota Fighting Hawks,999999
2020,North Dakota State Bison,999999
2020,North Florida Ospreys,999999
2020,Northern Arizona Lumberjacks,999999
2020,Northern Colorado Bears,999999
2020,Northern Illinois Huskies,999999
2020,Northwestern State Demons,999999
2020,Ohio Bobcats,999999
2020,Oral Roberts Golden Eagles,999999
2020,Pacific Tigers,999999
2020,Pepperdine Waves,999999
2020,Portland Pilots,999999
2020,Portland State Vikings,999999
2020,Presbyterian Blue Hose,999999
2020,Quinnipiac Bobcats,999999
2020,Radford Highlanders,999999
2020,Rice University Owls,999999
2020,Rider Broncs,999999
2020,Robert Morris Colonials,999999
2020,Sacred Heart Pioneers,999999
2020,Saint Francis-New York Terriers,999999
2020,Saint Francis-Pennsylvania Red Flash,999999
2020,Saint Josephs-Pennsylvania Hawks,999999
2020,Saint Peters Peacocks,999999
2020,Sam Houston State Bearkats,999999
2020,Samford Bulldogs,999999
2020,San Jose State Spartans,999999
2020,Santa Clara Broncos,999999
2020,Seattle University Red Hawks,999999
2020,Siena College Saints,999999
2020,South Carolina State Bulldogs,999999
2020,South Carolina-Upstate Spartans,999999
2020,South Dakota Coyotes,999999
2020,Southeast Missouri State Redhawks,999999
2020,Southeastern Louisiana Lions,999999
2020,Southern Illinois Salukis,999999
2020,Southern Illinois-Edwardsville Cougars,999999
2020,Southern University A&M Jaguars,999999
2020,Southern Utah Thunderbirds,999999
2020,Stephen F. Austin State Lumberjacks,999999
2020,Stetson Hatters,999999
2020,Stony Brook Seawolves,999999
2020,Tennessee State Tigers,999999
2020,Tennessee Tech Golden Eagles,999999
2020,Tennessee-Chattanooga Moccasins,999999
2020,Tennessee-Martin Skyhawks,999999
2020,Texas Rio Grande Vaqueros,999999
2020,Texas Southern Tigers,999999
2020,Texas-Arlington Mavericks,999999
2020,Towson Tigers,999999
2020,Troy Trojans,999999
2020,Tulane Green Wave,999999
2020,Virginia Military Keydets,999999
2020,Wagner Seahawks,999999
2020,Western Carolina Catamounts,999999
2020,Western Illinois Leathernecks,999999
2020,Western Michigan Broncos,999999
2020,Winthrop Eagles,999999
2020,Wisconsin-Green Bay Phoenix,999999
2020,Wisconsin-Milwaukee Panthers,999999
2020,Wyoming Cowboys,999999
2020,Youngstown State Penguins,999999
