Year,Team,Odds
2020,Michigan State Spartans,800
2020,Kentucky Wildcats,900
2020,Duke Blue Devils,1000
2020,Kansas Jayhawks,1400
2020,North Carolina Tar Heels,1400
2020,Memphis Tigers,1600
2020,Virginia Cavaliers,1600
2020,Florida Gators,2000
2020,Villanova Wildcats,2000
2020,Louisville Cardinals,2200
2020,Gonzaga Bulldogs,2500
2020,Maryland Terrapins,2500
2020,Arizona Wildcats,3300
2020,Oregon Ducks,3300
2020,Texas Tech Red Raiders,3300
2020,Auburn Tigers,5000
2020,Florida State Seminoles,5000
2020,Houston Cougars,5000
2020,Michigan Wolverines,5000
2020,Mississippi State Bulldogs,5000
2020,Texas Longhorns,5000
2020,Ohio State Buckeyes,6000
2020,Purdue Boilermakers,6000
2020,Syracuse Orange,6000
2020,Xavier Musketeers,6000
2020,Cincinnati Bearcats,6600
2020,Iowa Hawkeyes,6600
2020,Marquette Golden Eagles,6600
2020,Tennessee Volunteers,6600
2020,Iowa State Cyclones,8000
2020,Louisiana State Tigers,8000
2020,Seton Hall Pirates,8000
2020,Washington Huskies,8000
2020,Wisconsin Badgers,8000
2020,South Alabama Jaguars,8500
2020,Alabama A&M Bulldogs,10000
2020,Alabama Crimson Tide,10000
2020,Arizona State Sun Devils,10000
2020,Baylor Bears,10000
2020,Colorado Buffaloes,10000
2020,Connecticut Huskies,10000
2020,Creighton Blue Jays,10000
2020,Georgia Bulldogs,10000
2020,Illinois Fighting Illini,10000
2020,Indiana Hoosiers,10000
2020,Mississippi Rebels,10000
2020,Southern California Trojans,10000
2020,Texas A&M Aggies,10000
2020,UCLA Bruins,10000
2020,West Virginia Mountaineers,10000
2020,Virginia Commonwealth Rams,15000
2020,Buffalo Bulls,20000
2020,Georgetown Hoyas,20000
2020,Minnesota Golden Gophers,20000
2020,Missouri Tigers,20000
2020,Notre Dame Fighting Irish,20000
2020,Oklahoma Sooners,20000
2020,Penn State Nittany Lions,20000
2020,Utah State Aggies,20000
2020,Mount Saint Marys Mountaineers,23000
2020,Fresno State Bulldogs,25000
2020,North Carolina State Wolfpack,25000
2020,South Florida Bulls,25000
2020,Arkansas Razorbacks,30000
2020,Kansas State Wildcats,30000
2020,Miami-Florida Hurricanes,30000
2020,Missouri State Bears,30000
2020,Nebraska Cornhuskers,30000
2020,Nevada Wolf Pack,30000
2020,New Mexico State Aggies,30000
2020,Oregon State Beavers,30000
2020,Providence Friars,30000
2020,Saint Louis Billikens,30000
2020,Saint Marys College-California Gaels,30000
2020,Texas Christian Horned Frogs,30000
2020,Virginia Tech Hokies,30000
2020,Wichita State Shockers,30000
2020,Texas A&M-Corpus Christi Islanders,40000
2020,Abilene Christian Wildcats,50000
2020,Alabama State Hornets,50000
2020,Arkansas-Pine Bluff Golden Lions,50000
2020,Boise State Broncos,50000
2020,Boston College Eagles,50000
2020,Clemson Tigers,50000
2020,Middle Tennessee State Blue Raiders,50000
2020,New Mexico Lobos,50000
2020,Northwestern Wildcats,50000
2020,Oklahoma State Cowboys,50000
2020,Pittsburgh Panthers,50000
2020,Rutgers Scarlet Knights,50000
2020,Saint Bonaventure Bonnies,50000
2020,San Diego State Aztecs,50000
2020,South Carolina Gamecocks,50000
2020,Southern Methodist Mustangs,50000
2020,Stanford Cardinal,50000
2020,Temple Owls,50000
2020,Vanderbilt Commodores,50000
2020,Wofford Terriers,75000
2020,Albany Great Danes,100000
2020,Arkansas-Little Rock Trojans,100000
2020,Belmont Bruins,100000
2020,Brigham Young Cougars,100000
2020,Bucknell Bison,100000
2020,California Golden Bears,100000
2020,California-Irvine Anteaters,100000
2020,Central Florida Knights,100000
2020,Charleston Southern Buccaneers,100000
