Year,Team,% returning
2009,Air Force,57.44
2009,Akron,47.58
2009,Alabama,57.18
2009,Alabama A&M,51.92
2009,Alabama St.,53.18
2009,Albany,42.16
2009,Alcorn St.,53.42
2009,American,79.1
2009,Appalachian St.,57.36
2009,Arizona,53.62
2009,Arizona St.,92.92
2009,Arkansas,19.08
2009,Little Rock,67.98
2009,Arkansas Pine Bluff,26.38
2009,Arkansas St.,52.36
2009,Army,72.54
2009,Auburn,66.5
2009,Austin Peay,51.42
2009,Ball St.,52.06
2009,Baylor,81.3
2009,Belmont,76
2009,Bethune Cookman,32.94
2009,Binghamton,45.3
2009,Boise St.,38.2
2009,Boston College,66.38
2009,Boston University,91.54
2009,Bowling Green,91.1
2009,Bradley,37.26
2009,Brown,62.36
2009,Bucknell,48.96
2009,Buffalo,96.38
2009,Butler,30.12
2009,BYU,42.34
2009,Cal Poly,64.64
2009,Cal St. Bakersfield,68.72
2009,Cal St. Fullerton,20.12
2009,Cal St. Northridge,59.54
2009,California,59.96
2009,Campbell,49.88
2009,Canisius,70.74
2009,Centenary,62.86
2009,Central Arkansas,48.9
2009,Central Connecticut,72.88
2009,Central Michigan,48.3
2009,Charleston Southern,61.28
2009,Charlotte,75.6
2009,Chattanooga,59.9
2009,Chicago St.,83.04
2009,Cincinnati,43.56
2009,Clemson,66.46
2009,Cleveland St.,68.82
2009,Coastal Carolina,56.12
2009,Colgate,38.46
2009,College of Charleston,97.58
2009,Colorado,42.7
2009,Colorado St.,70.1
2009,Columbia,44.9
2009,Connecticut,88.34
2009,Coppin St.,46.18
2009,Cornell,84.9
2009,Creighton,69.74
2009,Dartmouth,55.3
2009,Davidson,60.6
2009,Dayton,56.38
2009,Delaware,74.56
2009,Delaware St.,56.34
2009,Denver,44.64
2009,DePaul,49.32
2009,Detroit,59.78
2009,Drake,53.86
2009,Drexel,63.3
2009,Duke,79.44
2009,Duquesne,41.22
2009,East Carolina,42.04
2009,East Tennessee St.,50.98
2009,Eastern Illinois,37.58
2009,Eastern Kentucky,48.5
2009,Eastern Michigan,40.24
2009,Eastern Washington,71.04
2009,Elon,67.16
2009,Evansville,82.64
2009,Fairfield,84.84
2009,Fairleigh Dickinson,28.5
2009,FIU,58.34
2009,Florida,61.9
2009,Florida A&M,51.56
2009,Florida Atlantic,57.42
2009,Florida Gulf Coast,18.3
2009,Florida St.,46.58
2009,Fordham,32.24
2009,Fresno St.,18.6
2009,Furman,75.34
2009,Gardner Webb,72.5
2009,George Mason,59.32
2009,George Washington,74.88
2009,Georgetown,43.9
2009,Georgia,54.3
2009,Georgia Southern,50.54
2009,Georgia St.,56.22
2009,Georgia Tech,50.58
2009,Gonzaga,75.96
2009,Grambling St.,53.26
2009,Green Bay,79.82
2009,Hampton,60.6
2009,Hartford,76.96
2009,Harvard,67.52
2009,Hawaii,23.2
2009,High Point,49.54
2009,Hofstra,82.08
2009,Holy Cross,70.28
2009,Houston,41.7
2009,Howard,78.46
2009,Idaho,27.34
2009,Idaho St.,81.86
2009,Illinois,67.74
2009,Illinois Chicago,68.78
2009,Illinois St.,49.3
2009,Indiana,3.86
2009,Indiana St.,42.18
2009,Iona,33.12
2009,Iowa,44.96
2009,Iowa St.,55.94
2009,Fort Wayne,42.98
2009,IUPUI,50.18
2009,Jackson St.,65.64
2009,Jacksonville,90.46
2009,Jacksonville St.,58.54
2009,James Madison,76.4
2009,Kansas,17.74
2009,Kansas St.,36.34
2009,Kennesaw St.,45.82
2009,Kent St.,65.54
2009,Kentucky,50.08
2009,La Salle,74.5
2009,Lafayette,46.66
