Year,Team,Ret Mins
2009,Harvard Crimson,67.52
2009,Hawaii Rainbow Warriors,23.2
2009,High Point Panthers,49.54
2009,Hofstra Pride,82.08
2009,Holy Cross Crusaders,70.28
2009,Houston Cougars,41.7
2009,Howard Bison,78.46
2009,Idaho Vandals,27.34
2009,Idaho State Bengals,81.86
2009,Illinois Fighting Illini,67.74
2009,Illinois-Chicago Flames,68.78
2009,Illinois State Redbirds,49.3
2009,Indiana Hoosiers,3.86
2009,Indiana State Sycamores,42.18
2009,Iona Gaels,33.12
2009,Iowa Hawkeyes,44.96
2009,Iowa State Cyclones,55.94
2009,IUPU-Fort Wayne Mastadons,42.98
2009,Indiana-Purdue Jaguars,50.18
2009,Jackson State Tigers,65.64
2009,Jacksonville Dolphins,90.46
2009,Jacksonville State Gamecocks,58.54
2009,James Madison Dukes,76.4
2009,Kansas Jayhawks,17.74
2009,Kansas State Wildcats,36.34
2009,Kennesaw State Owls,45.82
2009,Kent State Golden Flashes,65.54
2009,Kentucky Wildcats,50.08
2009,La Salle Explorers,74.5
2009,Lafayette College Leopards,46.66
2009,Lamar Cardinals,39.86
2009,Lehigh Mountain Hawks,80.64
2009,Liberty University Flames,30.62
2009,Lipscomb Bison,58.76
2009,Long Island Brooklyn Blackbirds,72.78
2009,California State-Long Beach 49ers,75.22
2009,Longwood Lancers,44.1
2009,Louisiana-Lafayette Ragin Cajuns,69.7
2009,Louisiana-Monroe Warhawks,43.46
2009,Louisiana Tech Bulldogs,36.88
2009,Louisville Cardinals,73.84
2009,Loyola-Chicago Ramblers,73.84
2009,Loyola-Marymount Lions,40.42
2009,Loyola-Maryland Greyhounds,44.92
2009,Louisiana State Tigers,77.78
2009,Maine Black Bears,60.4
2009,Manhattan Jaspers,86.3
2009,Marist Red Foxes,33.52
2009,Marquette Golden Eagles,78.62
2009,Marshall Thundering Herd,54.78
2009,Maryland Terrapins,68.94
2009,Maryland-Eastern Shore Hawks,34.52
2009,Massachusetts Minutemen,55.56
2009,McNeese State Cowboys,46.94
2009,Memphis Tigers,52.7
2009,Mercer Bears,59.7
2009,Miami-Florida Hurricanes,78.3
2009,Miami-Ohio Redhawks,68.92
2009,Michigan Wolverines,73.44
2009,Michigan State Spartans,73.6
2009,Middle Tennessee State Blue Raiders,82.4
2009,Wisconsin-Milwaukee Panthers,51.36
2009,Minnesota Golden Gophers,62.24
2009,Mississippi Rebels,59.08
2009,Mississippi State Bulldogs,53.7
2009,Mississippi Valley State Delta Devils,40.66
2009,Missouri Tigers,50.18
2009,Missouri State Bears,55.12
2009,Monmouth-New Jersey Hawks,84.5
2009,Montana Grizzlies,59.16
2009,Montana State Bobcats,37.9
2009,Morehead State Eagles,63.38
2009,Morgan State Bears,47.1
2009,Mount Saint Marys Mountaineers,79.96
2009,Murray State Racers,64.1
2009,Navy Midshipmen,73.88
2009,Nebraska Cornhuskers,73.26
2009,Nevada Wolf Pack,45.88
2009,New Hampshire Wildcats,83.42
2009,New Mexico Lobos,53.4
2009,New Mexico State Aggies,30.62
2009,New Orleans Privateers,28.64
2009,Niagara Purple Eagles,58.44
2009,Nicholls State Colonels,72.44
2009,New Jersey Tech Highlanders,47.06
2009,Norfolk State Spartans,54.22
2009,North Carolina Central Eagles,85.12
2009,North Carolina A&T Aggies,30.84
2009,North Carolina Tar Heels,60.46
2009,North Carolina State Wolfpack,62.98
2009,North Dakota State Bison,99.72
2009,North Florida Ospreys,49.56
2009,North Texas Mean Green Eagles,55.5
2009,Northeastern Huskies,94.1
2009,Northern Arizona Lumberjacks,56.56
2009,Northern Colorado Bears,71.14
2009,Northern Illinois Huskies,43.76
2009,Northern Iowa Panthers,58.04
2009,Northwestern Wildcats,83.58
2009,Northwestern State Demons,58.98
2009,Notre Dame Fighting Irish,84.82
2009,Oakland Golden Grizzlies,69.18
2009,Ohio Bobcats,52.76
2009,Ohio State Buckeyes,46.18
2009,Oklahoma Sooners,68.66
2009,Oklahoma State Cowboys,74.86
2009,Old Dominion Monarchs,61.06
2009,Oral Roberts Golden Eagles,35.52
2009,Oregon Ducks,48.22
2009,Oregon State Beavers,73.7
2009,Pacific Tigers,67.38
2009,Pennsylvania Quakers,63.16
2009,Penn State Nittany Lions,76.04
2009,Pepperdine Waves,49.26
2009,Pittsburgh Panthers,66.34
2009,Portland Pilots,81.48
2009,Portland State Vikings,51.06
2009,Prairie View A&M Panthers,39.44
2009,Presbyterian Blue Hose,74.94
2009,Princeton Tigers,40.92
2009,Providence Friars,78.44
2009,Purdue Boilermakers,81.94
2009,Quinnipiac Bobcats,51.24
2009,Radford Highlanders,89
2009,Rhode Island Rams,62.86
2009,Rice University Owls,55.14
2009,Richmond Spiders,69.34
2009,Rider Broncs,72.02
2009,Robert Morris Colonials,65.26
2009,Rutgers Scarlet Knights,85.8
2009,California State-Sacramento Hornets,33.94
2009,Sacred Heart Pioneers,50.46
2009,Saint Josephs-Pennsylvania Hawks,61.48
2009,Saint Louis Billikens,51.9
2009,Saint Marys College-California Gaels,72.98
2009,Saint Peters Peacocks,50.84
2009,Sam Houston State Bearkats,35.14
2009,Samford Bulldogs,64.62
2009,San Diego Toreros,92.88
2009,San Diego State Aztecs,93.64
2009,San Francisco Dons,54.44
2009,San Jose State Spartans,79.92
2009,Santa Clara Broncos,40.02
2009,Savannah State Tigers,64.4
2009,Seton Hall Pirates,51.96
2009,Siena College Saints,78.7
2009,Southern Methodist Mustangs,58.34
2009,South Alabama Jaguars,65.4
2009,South Carolina Gamecocks,86.74
2009,South Carolina State Bulldogs,50.6
2009,South Dakota State Jackrabbits,73.72
2009,South Florida Bulls,55.1
2009,Southeast Missouri State Redhawks,36.76
2009,Southeastern Louisiana Lions,60.12
2009,Southern University A&M Jaguars,70.64
2009,Southern Illinois Salukis,41.6
2009,Southern Mississippi Golden Eagles,83.92
2009,Southern Utah Thunderbirds,43.3
2009,Saint Bonaventure Bonnies,33.54
2009,Saint Francis-New York Terriers,52.86
2009,Saint Francis-Pennsylvania Red Flash,71.26
2009,Saint Johns Red Storm,75.3
2009,Stanford Cardinal,55
2009,Stephen F. Austin State Lumberjacks,75.96
2009,Stetson Hatters,90.96
2009,Stony Brook Seawolves,45.7
2009,Syracuse Orange,72.52
2009,Texas Christian Horned Frogs,42.04
2009,Temple Owls,70.46
2009,Tennessee Volunteers,46.5
2009,Tennessee-Martin Skyhawks,72.52
2009,Tennessee State Tigers,40.98
2009,Tennessee Tech Golden Eagles,42.84
2009,Texas Longhorns,79.3
2009,Texas A&M Aggies,59.8
2009,Texas A&M-Corpus Christi Islanders,64.38
2009,Texas Southern Tigers,57.44
2009,Texas State Bobcats,70.02
2009,Texas Tech Red Raiders,67.02
2009,Citadel Bulldogs,97.4
2009,Toledo Rockets,72.04
2009,Towson Tigers,64.72
2009,Troy Trojans,37.96
2009,Tulane Green Wave,62.04
2009,Tulsa Golden Hurricane,60.56
2009,Alabama-Birmingham Blazers,73.12
2009,California-Davis Aggies,78.46
2009,California-Irvine Anteaters,47.22
2009,California-Riverside Highlanders,63.76
2009,California-Santa Barbara Gauchos,45.2
2009,Central Florida Knights,44.06
2009,UCLA Bruins,47.34
2009,Maryland-Baltimore County Retrievers,53.88
2009,Missouri-Kansas City Kangaroos,40.56
2009,North Carolina-Asheville Bulldogs,35.36
2009,North Carolina-Greensboro Spartans,49.96
2009,North Carolina-Wilmington Seahawks,36.34
2009,UNLV Rebels,52.06
2009,Southern California Trojans,55.2
2009,South Carolina-Upstate Spartans,54.52
2009,Texas-Arlington Mavericks,50.28
2009,Texas Rio Grande Vaqueros,28.68
2009,Utah Utes,83.54
2009,Utah State Aggies,44.02
2009,Utah Valley Wolverines,42.18
2009,Texas-El Paso Miners,64.06
2009,Texas-San Antonio Roadrunners,33.62
2009,Valparaiso Crusaders,52.6
2009,Vanderbilt Commodores,43.62
2009,Virginia Commonwealth Rams,62.26
2009,Vermont Catamounts,69.84
2009,Villanova Wildcats,94.52
2009,Virginia Cavaliers,57.32
2009,Virginia Tech Hokies,82.72
2009,Virginia Military Keydets,71.76
2009,Wagner Seahawks,52.74
2009,Wake Forest Demon Deacons,85.52
2009,Washington Huskies,69
2009,Washington State Cougars,49.8
2009,Weber State Wildcats,37.48
2009,West Virginia Mountaineers,59.04
2009,Western Carolina Catamounts,55.06
2009,Western Illinois Leathernecks,34.92
2009,Western Kentucky Hilltoppers,50.06
2009,Western Michigan Broncos,68.68
2009,Wichita State Shockers,35.2
2009,William & Mary Tribe,60.42
2009,Winston Salem St.,51.12
2009,Winthrop Eagles,38.06
2009,Wisconsin Badgers,65.84
2009,Wofford Terriers,60.7
2009,Wright State Raiders,74.32
2009,Wyoming Cowboys,52.32
2009,Xavier Musketeers,53.26
2009,Yale Bulldogs,49.88
2009,Youngstown State Penguins,46.22
2010,Air Force Falcons,46.36
2010,Akron Zips,73.5
2010,Alabama Crimson Tide,57.76
2010,Alabama A&M Bulldogs,54.82
2010,Alabama State Hornets,28.06
2010,Albany Great Danes,59.88
2010,Alcorn State Braves,39.56
2010,American Eagles,18.84
2010,Appalachian State Mountaineers,84.26
2010,Arizona Wildcats,52.12
2010,Arizona State Sun Devils,65.86
2010,Arkansas Razorbacks,82.22
2010,Arkansas-Little Rock Trojans,40.62
2010,Arkansas-Pine Bluff Golden Lions,89.06
2010,Arkansas State Red Wolves,28.92
2010,Army Black Knights,72.06
2010,Auburn Tigers,59.8
2010,Austin Peay State Governors,66.36
2010,Ball State Cardinals,38.14
2010,Baylor Bears,46.6
2010,Belmont Bruins,36.82
2010,Bethune Cookman Wildcats,62.56
2010,Binghamton Bearcats,20.42
2010,Boise State Broncos,59.5
2010,Boston College Eagles,83.92
2010,Boston University Terriers,77.58
2010,Bowling Green State Falcons,49.62
2010,Bradley Braves,70.58
2010,Brown Bears,63.04
2010,Bryant University Bulldogs,61.62
2010,Bucknell Bison,73.9
2010,Buffalo Bulls,68.46
2010,Butler Bulldogs,100
2010,Brigham Young Cougars,78.54
2010,Cal Poly-Slo Mustangs,47.84
2010,California State-Bakersfield Roadrunners,60.28
2010,California State-Fullerton Titans,59.56
2010,California State-Northridge Matadors,42.34
2010,California Golden Bears,79.86
2010,Campbell Fighting Camels,85.68
2010,Canisius Golden Griffins,88.74
2010,Centenary,33.16
2010,Central Arkansas Bears,33.02
2010,Central Connecticut State Blue Devils,56.44
2010,Central Michigan Chippewas,46.68
2010,Charleston Southern Buccaneers,51.7
2010,North Carolina-Charlotte 49ers,69.58
2010,Tennessee-Chattanooga Moccasins,27.06
2010,Chicago State Cougars,35.62
2010,Cincinnati Bearcats,77.9
2010,Clemson Tigers,60.64
2010,Cleveland State Vikings,40.78
2010,Coastal Carolina Chanticleers,60.74
2010,Colgate Red Raiders,68.54
2010,College of Charleston Cougars,53.04
2010,Colorado Buffaloes,85.62
2010,Colorado State Rams,64.28
2010,Columbia Lions,67.38
2010,Connecticut Huskies,37.74
2010,Coppin State Eagles,49.76
2010,Cornell Big Red,87.56
2010,Creighton Blue Jays,69.74
2010,Dartmouth College Big Green,62.66
2010,Davidson College Wildcats,54.72
2010,Dayton Flyers,84.72
2010,Delaware Blue Hens,50.68
2010,Delaware State Hornets,54.8
2010,Denver Pioneers,96.62
2010,DePaul Blue Demons,68.04
2010,Detroit-Mercy Titans,62.18
2010,Drake Bulldogs,47.52
2010,Drexel Dragons,67.14
2010,Duke Blue Devils,60.4
2010,Duquesne Dukes,80.96
2010,East Carolina Pirates,65.98
2010,East Tennessee State Buccaneers,50.88
2010,Eastern Illinois Panthers,86.72
2010,Eastern Kentucky Colonels,63.38
2010,Eastern Michigan Eagles,58.04
2010,Eastern Washington Eagles,56.38
2010,Elon Phoenix,65.7
2010,Evansville Aces,33.38
2010,Fairfield Stags,56.24
2010,Fairleigh Dickinson-Metropolitan Knights,68.58
2010,Florida International Panthers,46.3
2010,Florida Gators,65.46
2010,Florida A&M Rattlers,55.18
2010,Florida Atlantic Owls,42.22
2010,Florida Gulf Coast Eagles,63.54
2010,Florida State Seminoles,71.36
2010,Fordham Rams,53.98
2010,Fresno State Bulldogs,70.7
2010,Furman  Paladins,73.62
2010,Gardner Webb Runnin Bulldogs,65.34
2010,George Mason Patriots,54.2
2010,George Washington Colonials,55.76
2010,Georgetown Hoyas,68.48
2010,Georgia Bulldogs,49.28
2010,Georgia Southern Eagles,72.32
2010,Georgia State Panthers,69.12
2010,Georgia Tech Yellow Jackets,71.68
2010,Gonzaga Bulldogs,39
2010,Grambling State Tigers,36.5
2010,Wisconsin-Green Bay Phoenix,55.76
2010,Hampton University Pirates,73.42
2010,Hartford Hawks,61.34
2010,Harvard Crimson,58.54
2010,Hawaii Rainbow Warriors,58.54
2010,High Point Panthers,76.34
2010,Hofstra Pride,54.3
2010,Holy Cross Crusaders,64.98
2010,Houston Cougars,54.22
2010,Houston Baptist Huskies,13.3
2010,Howard Bison,71.52
2010,Idaho Vandals,70.96
2010,Idaho State Bengals,62.62
2010,Illinois Fighting Illini,60.76
2010,Illinois-Chicago Flames,40.46
2010,Illinois State Redbirds,48.92
2010,Indiana Hoosiers,63.02
2010,Indiana State Sycamores,80.12
2010,Iona Gaels,57.4
2010,Iowa Hawkeyes,51.82
2010,Iowa State Cyclones,62.58
2010,IUPU-Fort Wayne Mastadons,76.36
2010,Indiana-Purdue Jaguars,76.26
2010,Jackson State Tigers,62.36
2010,Jacksonville Dolphins,72.46
2010,Jacksonville State Gamecocks,46.9
2010,James Madison Dukes,54.4
2010,Kansas Jayhawks,89.3
2010,Kansas State Wildcats,63.34
2010,Kennesaw State Owls,85.7
2010,Kent State Golden Flashes,56.4
2010,Kentucky Wildcats,62.34
2010,La Salle Explorers,72.14
2010,Lafayette College Leopards,82.78
2010,Lamar Cardinals,33.82
2010,Lehigh Mountain Hawks,81.64
2010,Liberty University Flames,49.78
2010,Lipscomb Bison,69.5
2010,Long Island Brooklyn Blackbirds,55
2010,California State-Long Beach 49ers,69.22
2010,Longwood Lancers,66.82
2010,Louisiana-Lafayette Ragin Cajuns,80.22
2010,Louisiana-Monroe Warhawks,81.06
2010,Louisiana Tech Bulldogs,71.26
2010,Louisville Cardinals,54.8
2010,Loyola-Chicago Ramblers,44.86
2010,Loyola-Marymount Lions,70.12
2010,Loyola-Maryland Greyhounds,70.02
2010,Louisiana State Tigers,41.48
2010,Maine Black Bears,74.68
2010,Manhattan Jaspers,59.16
2010,Marist Red Foxes,46.66
2010,Marquette Golden Eagles,39.46
2010,Marshall Thundering Herd,72.06
2010,Maryland Terrapins,81.82
2010,Maryland-Eastern Shore Hawks,35.96
2010,Massachusetts Minutemen,44.58
2010,McNeese State Cowboys,53.6
2010,Memphis Tigers,38.72
2010,Mercer Bears,76.36
2010,Miami-Florida Hurricanes,48.42
2010,Miami-Ohio Redhawks,44.42
2010,Michigan Wolverines,73.04
2010,Michigan State Spartans,68.04
2010,Middle Tennessee State Blue Raiders,41.98
2010,Wisconsin-Milwaukee Panthers,59.2
2010,Minnesota Golden Gophers,86.9
2010,Mississippi Rebels,71.82
2010,Mississippi State Bulldogs,92.4
2010,Mississippi Valley State Delta Devils,47.64
2010,Missouri Tigers,62.7
2010,Missouri State Bears,55.62
2010,Monmouth-New Jersey Hawks,85
2010,Montana Grizzlies,68.76
2010,Montana State Bobcats,81.32
2010,Morehead State Eagles,64.74
2010,Morgan State Bears,44.68
2010,Mount Saint Marys Mountaineers,76.06
2010,Murray State Racers,71.42
2010,Navy Midshipmen,57.36
2010,Nebraska Cornhuskers,39.88
2010,Nevada Wolf Pack,65.24
2010,New Hampshire Wildcats,68.6
2010,New Mexico Lobos,53.98
2010,New Mexico State Aggies,94
2010,New Orleans Privateers,44.28
2010,Niagara Purple Eagles,83.4
2010,Nicholls State Colonels,62.8
2010,New Jersey Tech Highlanders,50.96
2010,Norfolk State Spartans,57.56
2010,North Carolina Central Eagles,32.58
2010,North Carolina A&T Aggies,57.68
2010,North Carolina Tar Heels,43.16
2010,North Carolina State Wolfpack,47.6
2010,North Dakota State Bison,36.12
2010,North Florida Ospreys,67.52
2010,North Texas Mean Green Eagles,66.6
2010,Northeastern Huskies,72.42
2010,Northern Arizona Lumberjacks,45.16
2010,Northern Colorado Bears,63.1
2010,Northern Illinois Huskies,88.58
2010,Northern Iowa Panthers,90.58
2010,Northwestern Wildcats,61.84
2010,Northwestern State Demons,60.78
2010,Notre Dame Fighting Irish,47.1
2010,Oakland Golden Grizzlies,68.22
2010,Ohio Bobcats,45.38
2010,Ohio State Buckeyes,87.92
2010,Oklahoma Sooners,44.08
2010,Oklahoma State Cowboys,56.74
2010,Old Dominion Monarchs,89.36
2010,Oral Roberts Golden Eagles,41.24
2010,Oregon Ducks,84.46
2010,Oregon State Beavers,83.14
2010,Pacific Tigers,42.14
2010,Pennsylvania Quakers,59.14
2010,Penn State Nittany Lions,58.34
2010,Pepperdine Waves,80.16
2010,Pittsburgh Panthers,41.22
2010,Portland Pilots,93.94
2010,Portland State Vikings,45.76
2010,Prairie View A&M Panthers,67.6
2010,Presbyterian Blue Hose,12.58
2010,Princeton Tigers,90.02
2010,Providence Friars,35.78
2010,Purdue Boilermakers,81.66
2010,Quinnipiac Bobcats,66.52
2010,Radford Highlanders,59.92
2010,Rhode Island Rams,66.86
2010,Rice University Owls,60.94
2010,Richmond Spiders,85.96
2010,Rider Broncs,72.88
2010,Robert Morris Colonials,63.82
2010,Rutgers Scarlet Knights,52.48
2010,California State-Sacramento Hornets,56.1
2010,Sacred Heart Pioneers,58.22
2010,Saint Josephs-Pennsylvania Hawks,63.52
2010,Saint Louis Billikens,44.46
2010,Saint Marys College-California Gaels,41.5
2010,Saint Peters Peacocks,74.12
2010,Sam Houston State Bearkats,68.9
2010,Samford Bulldogs,78.7
2010,San Diego Toreros,58.58
2010,San Diego State Aztecs,35.7
2010,San Francisco Dons,71.08
2010,San Jose State Spartans,69.66
2010,Santa Clara Broncos,47.42
2010,Savannah State Tigers,56.82
2010,Seton Hall Pirates,75.62
2010,Siena College Saints,80.58
2010,Southern Illinois-Edwardsville Cougars,53.26
2010,Southern Methodist Mustangs,83.02
2010,South Alabama Jaguars,28.84
2010,South Carolina Gamecocks,78.32
2010,South Carolina State Bulldogs,39.78
2010,South Dakota State Jackrabbits,94.48
2010,South Florida Bulls,63.98
2010,Southeast Missouri State Redhawks,42.14
2010,Southeastern Louisiana Lions,62.48
2010,Southern University A&M Jaguars,36.4
2010,Southern Illinois Salukis,49.64
2010,Southern Mississippi Golden Eagles,38.24
2010,Southern Utah Thunderbirds,30.92
2010,Saint Bonaventure Bonnies,68.72
2010,Saint Francis-New York Terriers,64.96
2010,Saint Francis-Pennsylvania Red Flash,30.04
2010,Saint Johns Red Storm,93.44
2010,Stanford Cardinal,45.08
2010,Stephen F. Austin State Lumberjacks,32.8
2010,Stetson Hatters,51.64
2010,Stony Brook Seawolves,75.08
2010,Syracuse Orange,44.14
2010,Texas Christian Horned Frogs,62.74
2010,Temple Owls,56.3
2010,Tennessee Volunteers,88.04
2010,Tennessee-Martin Skyhawks,53.26
2010,Tennessee State Tigers,38.2
2010,Tennessee Tech Golden Eagles,43.48
2010,Texas Longhorns,71.08
2010,Texas A&M Aggies,72.18
2010,Texas A&M-Corpus Christi Islanders,88.44
2010,Texas Southern Tigers,36.62
2010,Texas State Bobcats,46.32
2010,Texas Tech Red Raiders,62.76
2010,Citadel Bulldogs,69.64
2010,Toledo Rockets,44.7
2010,Towson Tigers,71.94
2010,Troy Trojans,54.26
2010,Tulane Green Wave,73.62
2010,Tulsa Golden Hurricane,63.22
2010,Alabama-Birmingham Blazers,26.26
2010,California-Davis Aggies,61.54
2010,California-Irvine Anteaters,64.24
2010,California-Riverside Highlanders,59.78
2010,California-Santa Barbara Gauchos,57.04
2010,Central Florida Knights,50.2
2010,UCLA Bruins,43.14
2010,Maryland-Baltimore County Retrievers,34.02
2010,Missouri-Kansas City Kangaroos,57.56
2010,North Carolina-Asheville Bulldogs,71.02
2010,North Carolina-Greensboro Spartans,73.38
2010,North Carolina-Wilmington Seahawks,76.94
2010,UNLV Rebels,45.54
2010,Southern California Trojans,39.46
2010,South Carolina-Upstate Spartans,72.08
2010,Texas-Arlington Mavericks,59.58
2010,Texas Rio Grande Vaqueros,61.58
2010,Utah Utes,37.44
2010,Utah State Aggies,72.5
2010,Utah Valley Wolverines,42.82
2010,Texas-El Paso Miners,62.16
2010,Texas-San Antonio Roadrunners,71.44
2010,Valparaiso Crusaders,48.64
2010,Vanderbilt Commodores,91.12
2010,Virginia Commonwealth Rams,80.14
2010,Vermont Catamounts,66.16
2010,Villanova Wildcats,63.12
2010,Virginia Cavaliers,79.62
2010,Virginia Tech Hokies,65.4
2010,Virginia Military Keydets,53.56
2010,Wagner Seahawks,38.68
2010,Wake Forest Demon Deacons,62.86
2010,Washington Huskies,68.9
2010,Washington State Cougars,46.4
2010,Weber State Wildcats,67.98
2010,West Virginia Mountaineers,80.34
2010,Western Carolina Catamounts,87.66
2010,Western Illinois Leathernecks,56.78
2010,Western Kentucky Hilltoppers,67.2
2010,Western Michigan Broncos,49.34
2010,Wichita State Shockers,66.36
2010,William & Mary Tribe,77
2010,Winston Salem St.,49.98
2010,Winthrop Eagles,80.54
2010,Wisconsin Badgers,66.7
2010,Wofford Terriers,96.18
2010,Wright State Raiders,78.1
2010,Wyoming Cowboys,40.18
2010,Xavier Musketeers,45.12
2010,Yale Bulldogs,49.32
2010,Youngstown State Penguins,74.98
2011,Air Force Falcons,71.52
2011,Akron Zips,61.3
2011,Alabama Crimson Tide,60.38
2011,Alabama A&M Bulldogs,61.5
2011,Alabama State Hornets,65.82
2011,Albany Great Danes,54.14
2011,Alcorn State Braves,58.6
2011,American Eagles,95.7
2011,Appalachian State Mountaineers,47.68
2011,Arizona Wildcats,83.16
2011,Arizona State Sun Devils,53.48
2011,Arkansas Razorbacks,68.1
2011,Arkansas-Little Rock Trojans,64.54
2011,Arkansas-Pine Bluff Golden Lions,35.5
2011,Arkansas State Red Wolves,73.82
2011,Army Black Knights,31.94
2011,Auburn Tigers,37.04
2011,Austin Peay State Governors,68.54
2011,Ball State Cardinals,71.64
2011,Baylor Bears,55.36
2011,Belmont Bruins,86.66
2011,Bethune Cookman Wildcats,78.66
2011,Binghamton Bearcats,75.62
2011,Boise State Broncos,62.02
2011,Boston College Eagles,76.38
2011,Boston University Terriers,42.1
2011,Bowling Green State Falcons,61.62
2011,Bradley Braves,61.48
2011,Brown Bears,76.26
2011,Bryant University Bulldogs,66
2011,Bucknell Bison,89.12
2011,Buffalo Bulls,29.24
2011,Butler Bulldogs,63.16
2011,Brigham Young Cougars,57.52
2011,Cal Poly-Slo Mustangs,44.86
2011,California State-Bakersfield Roadrunners,45.4
2011,California State-Fullerton Titans,36.24
2011,California State-Northridge Matadors,41.78
2011,California Golden Bears,18.9
2011,Campbell Fighting Camels,50.72
2011,Canisius Golden Griffins,73.04
2011,Centenary,32
2011,Central Arkansas Bears,51.6
2011,Central Connecticut State Blue Devils,72.88
2011,Central Michigan Chippewas,45.22
2011,Charleston Southern Buccaneers,73.8
2011,North Carolina-Charlotte 49ers,70.98
2011,Tennessee-Chattanooga Moccasins,72.04
2011,Chicago State Cougars,70.3
2011,Cincinnati Bearcats,63.78
2011,Clemson Tigers,70.58
2011,Cleveland State Vikings,72.5
2011,Coastal Carolina Chanticleers,51
2011,Colgate Red Raiders,58.02
2011,College of Charleston Cougars,65.08
2011,Colorado Buffaloes,74.56
2011,Colorado State Rams,80.22
2011,Columbia Lions,66.38
2011,Connecticut Huskies,43.56
2011,Coppin State Eagles,46.08
2011,Cornell Big Red,33.58
2011,Creighton Blue Jays,67.88
2011,Dartmouth College Big Green,71.24
2011,Davidson College Wildcats,62.96
2011,Dayton Flyers,50.22
2011,Delaware Blue Hens,91.44
2011,Delaware State Hornets,56.2
2011,Denver Pioneers,69.34
2011,DePaul Blue Demons,58.34
2011,Detroit-Mercy Titans,35.86
2011,Drake Bulldogs,56.56
