Year,Team,Ret Mins
2009,Air Force Falcons,57.44
2009,Akron Zips,47.58
2009,Alabama Crimson Tide,57.18
2009,Alabama A&M Bulldogs,51.92
2009,Alabama State Hornets,53.18
2009,Albany Great Danes,42.16
2009,Alcorn State Braves,53.42
2009,American Eagles,79.1
2009,Appalachian State Mountaineers,57.36
2009,Arizona Wildcats,53.62
2009,Arizona State Sun Devils,92.92
2009,Arkansas Razorbacks,19.08
2009,Arkansas-Little Rock Trojans,67.98
2009,Arkansas-Pine Bluff Golden Lions,26.38
2009,Arkansas State Red Wolves,52.36
2009,Army Black Knights,72.54
2009,Auburn Tigers,66.5
2009,Austin Peay State Governors,51.42
2009,Ball State Cardinals,52.06
2009,Baylor Bears,81.3
2009,Belmont Bruins,76
2009,Bethune Cookman Wildcats,32.94
2009,Binghamton Bearcats,45.3
2009,Boise State Broncos,38.2
2009,Boston College Eagles,66.38
2009,Boston University Terriers,91.54
2009,Bowling Green State Falcons,91.1
2009,Bradley Braves,37.26
2009,Brown Bears,62.36
2009,Bucknell Bison,48.96
2009,Buffalo Bulls,96.38
2009,Butler Bulldogs,30.12
2009,Brigham Young Cougars,42.34
2009,Cal Poly-Slo Mustangs,64.64
2009,California State-Bakersfield Roadrunners,68.72
2009,California State-Fullerton Titans,20.12
2009,California State-Northridge Matadors,59.54
2009,California Golden Bears,59.96
2009,Campbell Fighting Camels,49.88
2009,Canisius Golden Griffins,70.74
2009,Centenary,62.86
2009,Central Arkansas Bears,48.9
2009,Central Connecticut State Blue Devils,72.88
2009,Central Michigan Chippewas,48.3
2009,Charleston Southern Buccaneers,61.28
2009,North Carolina-Charlotte 49ers,75.6
2009,Tennessee-Chattanooga Moccasins,59.9
2009,Chicago State Cougars,83.04
2009,Cincinnati Bearcats,43.56
2009,Clemson Tigers,66.46
2009,Cleveland State Vikings,68.82
2009,Coastal Carolina Chanticleers,56.12
2009,Colgate Red Raiders,38.46
2009,College of Charleston Cougars,97.58
2009,Colorado Buffaloes,42.7
2009,Colorado State Rams,70.1
2009,Columbia Lions,44.9
2009,Connecticut Huskies,88.34
2009,Coppin State Eagles,46.18
2009,Cornell Big Red,84.9
2009,Creighton Blue Jays,69.74
2009,Dartmouth College Big Green,55.3
2009,Davidson College Wildcats,60.6
2009,Dayton Flyers,56.38
2009,Delaware Blue Hens,74.56
2009,Delaware State Hornets,56.34
2009,Denver Pioneers,44.64
2009,DePaul Blue Demons,49.32
2009,Detroit-Mercy Titans,59.78
2009,Drake Bulldogs,53.86
2009,Drexel Dragons,63.3
2009,Duke Blue Devils,79.44
2009,Duquesne Dukes,41.22
2009,East Carolina Pirates,42.04
2009,East Tennessee State Buccaneers,50.98
2009,Eastern Illinois Panthers,37.58
2009,Eastern Kentucky Colonels,48.5
2009,Eastern Michigan Eagles,40.24
2009,Eastern Washington Eagles,71.04
2009,Elon Phoenix,67.16
2009,Evansville Aces,82.64
2009,Fairfield Stags,84.84
2009,Fairleigh Dickinson-Metropolitan Knights,28.5
2009,Florida International Panthers,58.34
2009,Florida Gators,61.9
2009,Florida A&M Rattlers,51.56
2009,Florida Atlantic Owls,57.42
2009,Florida Gulf Coast Eagles,18.3
2009,Florida State Seminoles,46.58
2009,Fordham Rams,32.24
2009,Fresno State Bulldogs,18.6
2009,Furman  Paladins,75.34
2009,Gardner Webb Runnin Bulldogs,72.5
2009,George Mason Patriots,59.32
2009,George Washington Colonials,74.88
2009,Georgetown Hoyas,43.9
2009,Georgia Bulldogs,54.3
2009,Georgia Southern Eagles,50.54
2009,Georgia State Panthers,56.22
2009,Georgia Tech Yellow Jackets,50.58
2009,Gonzaga Bulldogs,75.96
2009,Grambling State Tigers,53.26
2009,Wisconsin-Green Bay Phoenix,79.82
2009,Hampton University Pirates,60.6
2009,Hartford Hawks,76.96
