Year,Team,Real Win Total,Real Loss Total,Pythag
2011,Hawaii Rainbow Warriors,19,13,0.57570146
2011,High Point Panthers,12,19,0.278045603
2011,Hofstra Pride,21,12,0.538623742
2011,Holy Cross Crusaders,8,21,0.431677522
2011,Houston Baptist Huskies,5,26,0.214433295
2011,Houston Cougars,12,18,0.46181829
2011,Howard Bison,6,24,0.136877175
2011,Idaho State Bengals,9,20,0.244957428
2011,Idaho Vandals,18,14,0.545105804
2011,Illinois Fighting Illini,20,14,0.699569086
2011,Illinois State Redbirds,12,19,0.390542805
2011,Illinois-Chicago Flames,7,24,0.259765863
2011,Incarnate Word Cardinals,0,0,0
2011,Indiana Hoosiers,12,20,0.550980907
2011,Indiana State Sycamores,20,14,0.569875937
2011,Indiana-Purdue Jaguars,19,14,0.589489208
2011,Iona Gaels,25,12,0.782429777
2011,Iowa Hawkeyes,11,20,0.468270709
2011,Iowa State Cyclones,16,16,0.647553828
2011,IUPU-Fort Wayne Mastadons,18,11,0.662232512
2011,Jackson State Tigers,17,15,0.606956117
2011,Jacksonville Dolphins,20,12,0.597179148
2011,Jacksonville State Gamecocks,5,25,0.312683251
2011,James Madison Dukes,21,12,0.607226404
2011,Kansas Jayhawks,35,3,0.910968194
2011,Kansas State Wildcats,23,11,0.729041581
2011,Kennesaw State Owls,8,23,0.192391003
2011,Kent State Golden Flashes,25,12,0.649150065
2011,Kentucky Wildcats,29,9,0.844532247
2011,La Salle Explorers,15,18,0.441337802
2011,Lafayette College Leopards,13,19,0.418448336
2011,Lamar Cardinals,13,17,0.689084885
2011,Lehigh Mountain Hawks,16,15,0.556527458
2011,Liberty University Flames,19,13,0.57748339
2011,Lipscomb Bison,17,13,0.583495993
2011,Long Island Brooklyn Blackbirds,27,6,0.739325946
2011,Longwood Lancers,12,19,0.313382425
2011,Louisiana State Tigers,11,21,0.333650385
2011,Louisiana Tech Bulldogs,12,20,0.355036432
2011,Louisiana-Lafayette Ragin Cajuns,14,15,0.485084443
2011,Louisiana-Monroe Warhawks,7,24,0.201718746
2011,Louisville Cardinals,25,10,0.82219845
2011,Loyola-Chicago Ramblers,16,15,0.605336958
2011,Loyola-Maryland Greyhounds,15,15,0.515240736
2011,Loyola-Marymount Lions,0,3,0.026055806
2011,Maine Black Bears,15,15,0.597520708
2011,Manhattan Jaspers,6,25,0.178516772
2011,Marist Red Foxes,6,27,0.129642042
2011,Marquette Golden Eagles,22,15,0.712719242
2011,Marshall Thundering Herd,22,12,0.709044519
2011,Maryland Terrapins,19,14,0.788084172
2011,Maryland-Baltimore County Retrievers,5,25,0.114433232
2011,Maryland-Eastern Shore Hawks,9,22,0.194293591
2011,Massachusetts Minutemen,15,15,0.435453084
2011,Massachusetts-Lowell River Hawks,0,0,0
2011,McNeese State Cowboys,21,12,0.596996208
2011,Memphis Tigers,25,10,0.634270113
2011,Mercer Bears,15,18,0.456617913
2011,Miami-Florida Hurricanes,21,15,0.645046542
2011,Miami-Ohio Redhawks,16,17,0.357403002
2011,Michigan State Spartans,19,15,0.582779998
2011,Michigan Wolverines,21,14,0.654845589
2011,Middle Tennessee State Blue Raiders,16,16,0.612625451
2011,Minnesota Golden Gophers,17,14,0.573669875
2011,Mississippi Rebels,20,14,0.665384907
2011,Mississippi State Bulldogs,17,14,0.485839772
2011,Mississippi Valley State Delta Devils,13,19,0.283460052
2011,Missouri State Bears,26,9,0.738122932
2011,Missouri Tigers,23,11,0.775476593
2011,Missouri-Kansas City Kangaroos,16,14,0.364535971
2011,Monmouth-New Jersey Hawks,9,21,0.298550369
2011,Montana Grizzlies,21,11,0.732150462
2011,Montana State Bobcats,13,18,0.438215272
2011,Morehead State Eagles,25,10,0.754281902
2011,Morgan State Bears,17,14,0.487599325
2011,Mount Saint Marys Mountaineers,11,21,0.283171361
2011,Murray State Racers,23,9,0.742141822
2011,Navy Midshipmen,11,20,0.340262155
2011,Nebraska Cornhuskers,19,13,0.721103197
2011,Nebraska-Omaha Mavericks,0,0,0
2011,Nevada Wolf Pack,13,19,0.461558488
2011,New Hampshire Wildcats,12,18,0.391358178
2011,New Jersey Tech Highlanders,15,15,0.516177305
2011,New Mexico Lobos,22,13,0.744629294
2011,New Mexico State Aggies,16,17,0.552373133
2011,New Orleans Privateers,0,1,0.321740774
2011,Niagara Purple Eagles,9,23,0.200523732
2011,Nicholls State Colonels,14,14,0.647837188
2011,Norfolk State Spartans,12,20,0.337705692
2011,North Alabama Lions,0,1,0.004603264
2011,North Carolina A&T Aggies,15,17,0.402157725
2011,North Carolina Central Eagles,15,15,0.449718721
2011,North Carolina State Wolfpack,15,16,0.508199272
2011,North Carolina Tar Heels,29,8,0.772892026
2011,North Carolina-Asheville Bulldogs,20,14,0.675509695
2011,North Carolina-Charlotte 49ers,10,20,0.340542356
2011,North Carolina-Greensboro Spartans,7,24,0.214877477
2011,North Carolina-Wilmington Seahawks,13,18,0.385402037
2011,North Dakota Fighting Hawks,19,15,0.491176112
2011,North Dakota State Bison,14,15,0.647471399
2011,North Florida Ospreys,15,19,0.27166141
2011,North Texas Mean Green Eagles,22,11,0.660333218
2011,Northeastern Huskies,11,20,0.360186251
2011,Northern Arizona Lumberjacks,19,13,0.73806792
2011,Northern Colorado Bears,21,11,0.700564172
2011,Northern Illinois Huskies,9,21,0.333099336
2011,Northern Iowa Panthers,20,14,0.643120705
2011,Northern Kentucky Norse,0,0,0
2011,Northwestern State Demons,18,14,0.47927956
2011,Northwestern Wildcats,20,14,0.646892092
2011,Notre Dame Fighting Irish,27,7,0.80539261
2011,Oakland Golden Grizzlies,25,10,0.748496361
2011,Ohio Bobcats,19,16,0.555479335
2011,Ohio State Buckeyes,34,3,0.932799056
2011,Oklahoma Sooners,14,18,0.3968471
2011,Oklahoma State Cowboys,20,14,0.56011006
2011,Old Dominion Monarchs,27,7,0.769001694
2011,Oral Roberts Golden Eagles,19,16,0.570072298
2011,Oregon Ducks,21,18,0.531043839
2011,Oregon State Beavers,11,20,0.375756638
2011,Pacific Tigers,16,15,0.617451792
2011,Penn State Nittany Lions,19,15,0.521590908
2011,Pennsylvania Quakers,13,15,0.44857764
2011,Pepperdine Waves,12,21,0.340021383
2011,Pittsburgh Panthers,28,6,0.878361247
2011,Portland Pilots,20,12,0.590836102
2011,Portland State Vikings,14,16,0.429402984
2011,Prairie View A&M Panthers,10,22,0.24702431
2011,Presbyterian Blue Hose,13,18,0.314763673
2011,Princeton Tigers,25,7,0.723086111
2011,Providence Friars,15,17,0.515887816
2011,Purdue Boilermakers,26,8,0.836461657
2011,Quinnipiac Bobcats,22,10,0.65376911
2011,Radford Highlanders,5,24,0.142990805
2011,Rhode Island Rams,20,14,0.554578645
2011,Rice University Owls,14,18,0.49880731
2011,Richmond Spiders,29,8,0.789642944
2011,Rider Broncs,23,11,0.650303071
2011,Robert Morris Colonials,18,14,0.569525095
