Year,Team,Ranking
2012,Air Force Falcons,0.423779013
2012,Akron Zips,0.506999192
2012,Alabama A&M Bulldogs,0.258057404
2012,Alabama Crimson Tide,0.626226974
2012,Alabama State Hornets,0.278707514
2012,Alabama-Birmingham Blazers,0.525319873
2012,Albany Great Danes,0.399280836
2012,Alcorn State Braves,0.146590083
2012,American Eagles,0.370611652
2012,Appalachian State Mountaineers,0.389814692
2012,Arizona State Sun Devils,0.432643119
2012,Arizona Wildcats,0.676922735
2012,Arkansas Razorbacks,0.458328477
2012,Arkansas State Red Wolves,0.404726047
2012,Arkansas-Little Rock Trojans,0.308767745
2012,Arkansas-Pine Bluff Golden Lions,0.159931864
2012,Army Black Knights,0.296665082
2012,Auburn Tigers,0.428410631
2012,Austin Peay State Governors,0.528847065
2012,Ball State Cardinals,0.517191748
2012,Baylor Bears,0.66128531
2012,Belmont Bruins,0.662090125
2012,Bethune Cookman Wildcats,0.334130939
2012,Binghamton Bearcats,0.17495888
2012,Boise State Broncos,0.434135256
2012,Boston College Eagles,0.376149796
2012,Boston University Terriers,0.487932045
2012,Bowling Green State Falcons,0.406227182
2012,Bradley Braves,0.3668934
2012,Brigham Young Cougars,0.596616939
2012,Brown Bears,0.303411748
2012,Bryant University Bulldogs,0.253717905
2012,Bucknell Bison,0.54247795
2012,Buffalo Bulls,0.533313619
2012,Butler Bulldogs,0.592308415
2012,California Golden Bears,0.582600675
2012,California State-Bakersfield Roadrunners,0.182113497
2012,California State-Fullerton Titans,0.331161799
2012,California State-Long Beach 49ers,0.519520063
2012,California State-Northridge Matadors,0.33081795
2012,California State-Sacramento Hornets,0.213872944
2012,California-Davis Aggies,0.321488796
2012,California-Irvine Anteaters,0.299423059
2012,California-Riverside Highlanders,0.351504563
2012,Campbell Fighting Camels,0.331439501
2012,Canisius Golden Griffins,0.32737616
2012,Central Arkansas Bears,0.195272349
2012,Central Connecticut State Blue Devils,0.426673317
2012,Central Florida Knights,0.541107392
2012,Central Michigan Chippewas,0.271600007
2012,Charleston Southern Buccaneers,0.380067651
2012,Chicago State Cougars,0.049142033
2012,Cincinnati Bearcats,0.605403804
2012,Citadel Bulldogs,0.179568727
2012,Clemson Tigers,0.594322403
2012,Cleveland State Vikings,0.566130954
2012,Coastal Carolina Chanticleers,0.553788215
2012,Colgate Red Raiders,0.297482564
2012,College of Charleston Cougars,0.496397461
2012,Colorado Buffaloes,0.503948172
2012,Colorado State Rams,0.497705578
2012,Columbia Lions,0.372708765
2012,Connecticut Huskies,0.719441656
2012,Coppin State Eagles,0.374914575
2012,Cornell Big Red,0.40387908
2012,Creighton Blue Jays,0.52355588
2012,Dartmouth College Big Green,0.22990404
2012,Davidson College Wildcats,0.527299326
2012,Dayton Flyers,0.503736792
2012,Delaware Blue Hens,0.353758617
2012,Delaware State Hornets,0.272338707
2012,Denver Pioneers,0.42512771
2012,DePaul Blue Demons,0.336412599
2012,Detroit-Mercy Titans,0.552361758
2012,Drake Bulldogs,0.412822117
2012,Drexel Dragons,0.5764305
2012,Duke Blue Devils,0.871411825
2012,Duquesne Dukes,0.553778059
2012,East Carolina Pirates,0.417902886
2012,East Tennessee State Buccaneers,0.476637374
2012,Eastern Illinois Panthers,0.265977109
2012,Eastern Kentucky Colonels,0.347552807
2012,Eastern Michigan Eagles,0.290465225
2012,Eastern Washington Eagles,0.370190506
2012,Elon Phoenix,0.37014501
2012,Evansville Aces,0.448450702
2012,Fairfield Stags,0.567090543
2012,Fairleigh Dickinson-Metropolitan Knights,0.1266239
2012,Florida A&M Rattlers,0.286748776
2012,Florida Atlantic Owls,0.493745261
2012,Florida Gators,0.743986702
2012,Florida Gulf Coast Eagles,0.217140309
2012,Florida International Panthers,0.263928213
2012,Florida State Seminoles,0.647245541
2012,Fordham Rams,0.294560423
2012,Fresno State Bulldogs,0.368687873
2012,Furman  Paladins,0.375159761
2012,Gardner Webb Runnin Bulldogs,0.249912042
2012,George Mason Patriots,0.575908243
2012,George Washington Colonials,0.497452488
2012,Georgetown Hoyas,0.588447899
2012,Georgia Bulldogs,0.527720053
2012,Georgia Southern Eagles,0.266030561
2012,Georgia State Panthers,0.380959039
2012,Georgia Tech Yellow Jackets,0.490475904
2012,Gonzaga Bulldogs,0.664504302
2012,Grambling State Tigers,0.106771529
2012,Hampton University Pirates,0.41214891
2012,Hartford Hawks,0.194252897
2012,Harvard Crimson,0.652658399
2012,Hawaii Rainbow Warriors,0.452320375
2012,High Point Panthers,0.280806411
2012,Hofstra Pride,0.432800946
2012,Holy Cross Crusaders,0.36476439
2012,Houston Baptist Huskies,0.137303334
2012,Houston Cougars,0.327799582
2012,Howard Bison,0.225564304
2012,Idaho State Bengals,0.210734367
2012,Idaho Vandals,0.401271461
2012,Illinois Fighting Illini,0.522077904
2012,Illinois State Redbirds,0.358230711
2012,Illinois-Chicago Flames,0.191686476
2012,Indiana Hoosiers,0.611120227
2012,Indiana State Sycamores,0.533513994
2012,Indiana-Purdue Jaguars,0.471517312
2012,Iona Gaels,0.593702454
2012,Iowa Hawkeyes,0.534552717
2012,Iowa State Cyclones,0.456783467
2012,IUPU-Fort Wayne Mastadons,0.414103138
2012,Jackson State Tigers,0.258534039
2012,Jacksonville Dolphins,0.480139797
2012,Jacksonville State Gamecocks,0.183015823
2012,James Madison Dukes,0.488651611
2012,Kansas Jayhawks,0.661634641
2012,Kansas State Wildcats,0.619987318
2012,Kennesaw State Owls,0.239842761
2012,Kent State Golden Flashes,0.574982526
2012,Kentucky Wildcats,0.932916395
2012,La Salle Explorers,0.36867946
2012,Lafayette College Leopards,0.365857094
2012,Lamar Cardinals,0.426466231
2012,Lehigh Mountain Hawks,0.438626874
2012,Liberty University Flames,0.397015858
2012,Lipscomb Bison,0.367569008
2012,Longwood Lancers,0.315940616
2012,Louisiana State Tigers,0.400038834
2012,Louisiana Tech Bulldogs,0.311804118
2012,Louisiana-Lafayette Ragin Cajuns,0.363466121
2012,Louisiana-Monroe Warhawks,0.237574696
2012,Louisville Cardinals,0.851832946
2012,Loyola-Chicago Ramblers,0.38047925
2012,Loyola-Maryland Greyhounds,0.455305194
2012,Loyola-Marymount Lions,0.363466121
2012,Maine Black Bears,0.365175187
2012,Manhattan Jaspers,0.283374203
2012,Marist Red Foxes,0.21185552
2012,Marquette Golden Eagles,0.610389614
2012,Marshall Thundering Herd,0.54110614
2012,Maryland Terrapins,0.543830847
2012,Maryland-Eastern Shore Hawks,0.169968408
2012,Massachusetts Minutemen,0.407208281
2012,McNeese State Cowboys,0.323694062
2012,Memphis Tigers,0.721634195
2012,Mercer Bears,0.344599488
2012,Miami-Florida Hurricanes,0.600096675
2012,Miami-Ohio Redhawks,0.34514576
2012,Michigan State Spartans,0.580287592
2012,Michigan Wolverines,0.680385207
2012,Minnesota Golden Gophers,0.524862479
2012,Mississippi Rebels,0.543631266
2012,Mississippi State Bulldogs,0.465624649
2012,Mississippi Valley State Delta Devils,0.246560023
2012,Missouri State Bears,0.483975743
2012,Missouri Tigers,0.658606953
2012,Missouri-Kansas City Kangaroos,0.271729003
2012,Monmouth-New Jersey Hawks,0.260932602
2012,Montana Grizzlies,0.558032626
2012,Montana State Bobcats,0.272948828
2012,Morehead State Eagles,0.475965485
2012,Morgan State Bears,0.430644841
2012,Mount Saint Marys Mountaineers,0.32573785
2012,Murray State Racers,0.498530466
2012,Navy Midshipmen,0.285460549
2012,Nebraska Cornhuskers,0.545470809
2012,Nevada Wolf Pack,0.515984632
2012,New Hampshire Wildcats,0.294234554
2012,New Jersey Tech Highlanders,0.349389336
2012,New Mexico Lobos,0.607302333
2012,New Mexico State Aggies,0.484188293
2012,Niagara Purple Eagles,0.267325943
2012,Nicholls State Colonels,0.316304307
2012,Norfolk State Spartans,0.281621433
2012,North Carolina A&T Aggies,0.341484441
2012,North Carolina Central Eagles,0.34352469
2012,North Carolina State Wolfpack,0.533459622
2012,North Carolina Tar Heels,1.078068461
2012,North Carolina-Asheville Bulldogs,0.502172434
2012,North Carolina-Charlotte 49ers,0.400030599
2012,North Carolina-Greensboro Spartans,0.336264379
2012,North Carolina-Wilmington Seahawks,0.356145519
2012,North Dakota Fighting Hawks,0.376489038
2012,North Dakota State Bison,0.45021286
2012,North Florida Ospreys,0.378010363
2012,North Texas Mean Green Eagles,0.345428315
2012,Northeastern Huskies,0.402341573
2012,Northern Arizona Lumberjacks,0.40371199
2012,Northern Colorado Bears,0.431286053
2012,Northern Illinois Huskies,0.216669844
2012,Northern Iowa Panthers,0.540925186
2012,Northwestern State Demons,0.3377149
2012,Northwestern Wildcats,0.575718033
2012,Notre Dame Fighting Irish,0.637475076
2012,Oakland Golden Grizzlies,0.5169691
2012,Ohio Bobcats,0.472414844
2012,Ohio State Buckeyes,0.881745002
2012,Oklahoma Sooners,0.512121579
2012,Oklahoma State Cowboys,0.502487319
2012,Old Dominion Monarchs,0.533095433
2012,Oral Roberts Golden Eagles,0.508613085
2012,Oregon Ducks,0.496648765
2012,Oregon State Beavers,0.407984169
2012,Pacific Tigers,0.276457958
2012,Penn State Nittany Lions,0.428042737
2012,Pennsylvania Quakers,0.39643942
2012,Pepperdine Waves,0.291400356
2012,Pittsburgh Panthers,0.728956978
2012,Portland Pilots,0.454054035
2012,Portland State Vikings,0.267595756
2012,Prairie View A&M Panthers,0.169801087
2012,Presbyterian Blue Hose,0.333335928
2012,Princeton Tigers,0.552366538
2012,Providence Friars,0.479166964
2012,Purdue Boilermakers,0.642650454
2012,Quinnipiac Bobcats,0.414537287
2012,Radford Highlanders,0.208592711
2012,Rhode Island Rams,0.397089671
2012,Rice University Owls,0.422396837
2012,Richmond Spiders,0.524055746
2012,Rider Broncs,0.498820778
2012,Robert Morris Colonials,0.464276284
2012,Rutgers Scarlet Knights,0.44731091
2012,Sacred Heart Pioneers,0.359802894
2012,Saint Bonaventure Bonnies,0.48764506
2012,Saint Francis-New York Terriers,0.365195256
2012,Saint Francis-Pennsylvania Red Flash,0.289222847
2012,Saint Johns Red Storm,0.483031318
2012,Saint Josephs-Pennsylvania Hawks,0.401947408
2012,Saint Louis Billikens,0.541133142
2012,Saint Marys College-California Gaels,0.651805888
2012,Saint Peters Peacocks,0.368247365
2012,Sam Houston State Bearkats,0.319367561
2012,Samford Bulldogs,0.230190916
2012,San Diego State Aztecs,0.561098362
2012,San Diego Toreros,0.239658356
2012,San Francisco Dons,0.497045017
2012,San Jose State Spartans,0.416306019
2012,Santa Clara Broncos,0.460296884
2012,Savannah State Tigers,0.379527586
2012,Seattle University Red Hawks,0.288827094
2012,Seton Hall Pirates,0.494680029
2012,Siena College Saints,0.3310127
2012,South Alabama Jaguars,0.241593892
2012,South Carolina Gamecocks,0.466298819
2012,South Carolina State Bulldogs,0.244499958
2012,South Carolina-Upstate Spartans,0.19686527
2012,South Dakota Coyotes,0.381135584
2012,South Dakota State Jackrabbits,0.502033207
2012,South Florida Bulls,0.436857541
2012,Southeast Missouri State Redhawks,0.29779665
2012,Southeastern Louisiana Lions,0.319623336
2012,Southern California Trojans,0.454849604
2012,Southern Illinois Salukis,0.328609538
2012,Southern Methodist Mustangs,0.399196837
2012,Southern Mississippi Golden Eagles,0.492785585
2012,Southern University A&M Jaguars,0.151456551
2012,Southern Utah Thunderbirds,0.298223651
2012,Stanford Cardinal,0.566088272
2012,Stephen F. Austin State Lumberjacks,0.41050128
2012,Stetson Hatters,0.195122678
2012,Stony Brook Seawolves,0.467447789
2012,Syracuse Orange,0.850827178
2012,Temple Owls,0.621565914
2012,Tennessee State Tigers,0.435899865
2012,Tennessee Tech Golden Eagles,0.500275715
2012,Tennessee Volunteers,0.462206559
2012,Tennessee-Chattanooga Moccasins,0.363877183
2012,Tennessee-Martin Skyhawks,0.231017443
2012,Texas A&M Aggies,0.650422352
2012,Texas A&M-Corpus Christi Islanders,0.134373482
2012,Texas Christian Horned Frogs,0.374315003
2012,Texas Longhorns,0.614557132
2012,Texas Southern Tigers,0.284654156
2012,Texas State Bobcats,0.310823302
2012,Texas Tech Red Raiders,0.329679711
2012,Texas-Arlington Mavericks,0.428060751
2012,Texas-El Paso Miners,0.446728828
2012,Texas-San Antonio Roadrunners,0.410909219
2012,Toledo Rockets,0.114878863
2012,Towson Tigers,0.131024162
2012,Troy Trojans,0.212023241
2012,Tulane Green Wave,0.372234633
2012,Tulsa Golden Hurricane,0.533114941
2012,UCLA Bruins,0.673585196
2012,UNLV Rebels,0.652801928
2012,Utah State Aggies,0.534660052
2012,Utah Utes,0.342081994
2012,Valparaiso Crusaders,0.475745663
2012,Vanderbilt Commodores,0.764478764
2012,Vermont Catamounts,0.497508839
2012,Villanova Wildcats,0.582281426
2012,Virginia Cavaliers,0.511145762
2012,Virginia Commonwealth Rams,0.504503411
2012,Virginia Military Keydets,0.47217586
2012,Virginia Tech Hokies,0.544643982
2012,Wagner Seahawks,0.393945632
2012,Wake Forest Demon Deacons,0.340100191
2012,Washington Huskies,0.600806842
2012,Washington State Cougars,0.584447471
2012,Weber State Wildcats,0.47360836
2012,West Virginia Mountaineers,0.555049285
2012,Western Carolina Catamounts,0.428371249
2012,Western Illinois Leathernecks,0.148827597
2012,Western Michigan Broncos,0.517693045
2012,Wichita State Shockers,0.586467628
2012,William & Mary Tribe,0.401304118
2012,Winthrop Eagles,0.376794191
2012,Wisconsin Badgers,0.646141951
2012,Wisconsin-Green Bay Phoenix,0.399242685
