Date,Team,Ranking
11/7/2011,Ohio State Buckeyes,0.881745002025008
11/7/2011,Kentucky Wildcats,0.9329163950169116
11/7/2011,Duke Blue Devils,0.8714118249909188
11/7/2011,North Carolina Tar Heels,1.105868461012165
11/7/2011,Connecticut Huskies,0.7194416560086776
11/7/2011,Syracuse Orange,0.8508271775005403
11/7/2011,Pittsburgh Panthers,0.7289569782951154
11/7/2011,Kansas Jayhawks,0.6616346410930036
11/7/2011,Louisville Cardinals,0.8518329458795508
11/7/2011,Florida Gators,0.7439867020071798
11/7/2011,Wisconsin Badgers,0.6461419505037573
11/7/2011,Vanderbilt Commodores,0.7644787644681746
11/7/2011,Purdue Boilermakers,0.6426504536839448
11/7/2011,Xavier Musketeers,0.5693272309347696
11/7/2011,Arizona Wildcats,0.6769227350526643
11/7/2011,Brigham Young Cougars,0.5966169391975965
11/7/2011,Texas Longhorns,0.6145571318140745
11/7/2011,Marquette Golden Eagles,0.610389614297513
11/7/2011,Notre Dame Fighting Irish,0.6374750755412312
11/7/2011,Cincinnati Bearcats,0.6054038039167025
11/7/2011,Michigan Wolverines,0.6803852066579053
11/7/2011,Texas A&M Aggies,0.6504223515719745
11/7/2011,West Virginia Mountaineers,0.5550492850837307
11/7/2011,Gonzaga Bulldogs,0.6645043020535263
11/7/2011,Missouri Tigers,0.6586069530502221
11/7/2011,Washington Huskies,0.6008068415619391
11/7/2011,Temple Owls,0.6215659135678976
11/7/2011,San Diego State Aztecs,0.5610983615859425
11/7/2011,Florida State Seminoles,0.647245540504629
11/7/2011,Butler Bulldogs,0.5923084151400693
11/7/2011,Memphis Tigers,0.7216341949677377
11/7/2011,UCLA Bruins,0.6735851962836978
11/7/2011,Michigan State Spartans,0.5802875921098372
11/7/2011,UNLV Rebels,0.6528019283905314
11/7/2011,Villanova Wildcats,0.5822814261394291
11/7/2011,Alabama Crimson Tide,0.626226974116836
11/7/2011,Baylor Bears,0.6612853100052565
11/7/2011,Clemson Tigers,0.5943224033271465
11/7/2011,Kansas State Wildcats,0.6199873183059379
11/7/2011,Georgetown Hoyas,0.5884478985082695
11/7/2011,California Golden Bears,0.5826006748277266
11/7/2011,Illinois Fighting Illini,0.522077903584051
11/7/2011,Saint Marys College-California Gaels,0.6518058877518987
11/7/2011,New Mexico Lobos,0.6073023333806211
11/7/2011,George Mason Patriots,0.5759082426180495
11/7/2011,Utah State Aggies,0.5346600515966
11/7/2011,Wichita State Shockers,0.5864676276757648
11/7/2011,Virginia Tech Hokies,0.5446439821555699
11/7/2011,Virginia Commonwealth Rams,0.5045034110232799
11/7/2011,Old Dominion Monarchs,0.5330954333610921
11/7/2011,Belmont Bruins,0.6620901245093219
11/7/2011,Northwestern Wildcats,0.5757180329086924
11/7/2011,Miami-Florida Hurricanes,0.6000966749316577
11/7/2011,Minnesota Golden Gophers,0.5248624787518986
11/7/2011,Saint Johns Red Storm,0.48303131767186724
11/7/2011,Oklahoma State Cowboys,0.5024873189854367
11/7/2011,Maryland Terrapins,0.5438308468468576
11/7/2011,Richmond Spiders,0.5240557459979576
11/7/2011,Alabama-Birmingham Blazers,0.525319873007189
11/7/2011,Nebraska Cornhuskers,0.5454708091367717
11/7/2011,Washington State Cougars,0.5844474711120855
11/7/2011,Penn State Nittany Lions,0.42804273708633
11/7/2011,Southern California Trojans,0.45484960421987075
11/7/2011,Mississippi Rebels,0.5436312661786126
11/7/2011,Iona Gaels,0.5937024541088832
11/7/2011,Georgia Bulldogs,0.5277200525328044
11/7/2011,Harvard Crimson,0.6526583985871914
11/7/2011,Oakland Golden Grizzlies,0.5169691001408586
11/7/2011,Seton Hall Pirates,0.4946800285827952
11/7/2011,Dayton Flyers,0.503736792171808
11/7/2011,Cleveland State Vikings,0.5661309543698965
11/7/2011,Kent State Golden Flashes,0.5749825263294153
11/7/2011,Creighton Blue Jays,0.5235558802717181
11/7/2011,Colorado Buffaloes,0.5039481718163121
11/7/2011,Tulsa Golden Hurricane,0.5331149410250304
11/7/2011,Marshall Thundering Herd,0.5411061396943195
11/7/2011,Tennessee Volunteers,0.46220655923219545
11/7/2011,Virginia Cavaliers,0.5111457616583717
11/7/2011,North Carolina State Wolfpack,0.5334596219008715
11/7/2011,Northern Iowa Panthers,0.5409251862949158
11/7/2011,Oregon Ducks,0.49664876464805796
11/7/2011,Drexel Dragons,0.5764304997188454
11/7/2011,Missouri State Bears,0.4839757429906667
11/7/2011,Southern Mississippi Golden Eagles,0.49278558512626836
11/7/2011,College of Charleston Cougars,0.49639746128899775
11/7/2011,Fairfield Stags,0.5670905426758492
11/7/2011,Texas-El Paso Miners,0.44672882793308794
11/7/2011,Stanford Cardinal,0.5660882718179079
11/7/2011,Princeton Tigers,0.5523665378193774
11/7/2011,Duquesne Dukes,0.5537780588455763
11/7/2011,Central Florida Knights,0.5411073917594866
11/7/2011,Mississippi State Bulldogs,0.46562464882157006
11/7/2011,Akron Zips,0.5069991924306737
11/7/2011,Indiana State Sycamores,0.5335139942092516
11/7/2011,Boston College Eagles,0.3761497962645517
11/7/2011,Rutgers Scarlet Knights,0.4473109096530481
11/7/2011,Indiana Hoosiers,0.6111202266880839
11/7/2011,Colorado State Rams,0.4977055778407432
11/7/2011,Georgia Tech Yellow Jackets,0.4904759040337018
11/7/2011,Oklahoma Sooners,0.5121215788848522
11/7/2011,California State-Long Beach 49ers,0.5195200634658875
11/7/2011,Arkansas Razorbacks,0.45832847746108757
11/7/2011,Iowa State Cyclones,0.4567834668894775
11/7/2011,Iowa Hawkeyes,0.534552716603908
11/7/2011,Arizona State Sun Devils,0.4326431187258931
11/7/2011,Providence Friars,0.47916696398315195
11/7/2011,Saint Louis Billikens,0.5411331420460994
11/7/2011,Wisconsin-Milwaukee Panthers,0.453372691553368
11/7/2011,Oral Roberts Golden Eagles,0.5086130845833293
11/7/2011,James Madison Dukes,0.48865161086170006
11/7/2011,South Carolina Gamecocks,0.4662988194689469
11/7/2011,Rhode Island Rams,0.3970896712936044
11/7/2011,Detroit-Mercy Titans,0.552361758002497
11/7/2011,Santa Clara Broncos,0.46029688353765336
11/7/2011,South Florida Bulls,0.43685754053919174
11/7/2011,Murray State Racers,0.49853046560289516
11/7/2011,East Tennessee State Buccaneers,0.4766373740611054
11/7/2011,Rider Broncs,0.4988207776184307
11/7/2011,Valparaiso Crusaders,0.47574566322567674
11/7/2011,Bucknell Bison,0.5424779497631663
11/7/2011,Saint Bonaventure Bonnies,0.48764506037946403
11/7/2011,Portland Pilots,0.45405403543710965
11/7/2011,Davidson College Wildcats,0.5272993258242329
11/7/2011,Wofford Terriers,0.4237103824106845
11/7/2011,Nevada Wolf Pack,0.5159846319458478
11/7/2011,Buffalo Bulls,0.5333136185854657
11/7/2011,Wright State Raiders,0.4273477758657503
11/7/2011,Montana Grizzlies,0.5580326255774579
11/7/2011,George Washington Colonials,0.49745248840914125
11/7/2011,Ohio Bobcats,0.4724148437095157
11/7/2011,Hofstra Pride,0.4328009455748598
11/7/2011,Vermont Catamounts,0.49750883937454193
11/7/2011,New Mexico State Aggies,0.48418829316860956
11/7/2011,Boise State Broncos,0.4341352559914773
11/7/2011,Morehead State Eagles,0.47596548541858824
11/7/2011,San Francisco Dons,0.4970450165699287
11/7/2011,Indiana-Purdue Jaguars,0.4715173119033874
11/7/2011,Texas Tech Red Raiders,0.3296797110006117
11/7/2011,Utah Utes,0.34208199351277246
11/7/2011,Coastal Carolina Chanticleers,0.5537882154437965
11/7/2011,Western Michigan Broncos,0.5176930445884532
11/7/2011,Air Force Falcons,0.42377901316155936
11/7/2011,Austin Peay State Governors,0.528847065482452
11/7/2011,Miami-Ohio Redhawks,0.3451457604640171
11/7/2011,Wisconsin-Green Bay Phoenix,0.39924268543865593
11/7/2011,Jacksonville Dolphins,0.48013979685624236
11/7/2011,Saint Josephs-Pennsylvania Hawks,0.40194740792428496
11/7/2011,Robert Morris Colonials,0.46427628366466506
11/7/2011,Evansville Aces,0.44845070224932637
11/7/2011,Boston University Terriers,0.48793204501488197
11/7/2011,Northeastern Huskies,0.40234157263140524
11/7/2011,Saint Peters Peacocks,0.3682473649441119
11/7/2011,Northern Colorado Bears,0.4312860530551552
11/7/2011,East Carolina Pirates,0.4179028861084582
11/7/2011,South Dakota State Jackrabbits,0.5020332070145024
11/7/2011,Idaho Vandals,0.40127146087246146
11/7/2011,Weber State Wildcats,0.47360835978812266
11/7/2011,North Carolina-Asheville Bulldogs,0.5021724337048327
11/7/2011,Hawaii Rainbow Warriors,0.45232037492895427
11/7/2011,Oregon State Beavers,0.40798416947934935
11/7/2011,Cornell Big Red,0.4038790798795046
11/7/2011,Drake Bulldogs,0.4128221165999749
11/7/2011,Florida Atlantic Owls,0.4937452613316776
11/7/2011,Auburn Tigers,0.4284106309583189
11/7/2011,North Carolina-Charlotte 49ers,0.4000305989851908
11/7/2011,Southern Methodist Mustangs,0.39919683702676334
11/7/2011,Ball State Cardinals,0.5171917476346524
11/7/2011,Louisiana State Tigers,0.400038833981915
11/7/2011,Bradley Braves,0.36689339980294866
11/7/2011,Loyola-Maryland Greyhounds,0.45530519401965097
11/7/2011,Loyola-Chicago Ramblers,0.38047924959566876
11/7/2011,Rice University Owls,0.4223968373961431
11/7/2011,La Salle Explorers,0.3686794604763771
11/7/2011,Massachusetts Minutemen,0.4072082809795805
11/7/2011,Siena College Saints,0.33101270004725675
11/7/2011,San Jose State Spartans,0.41630601916324317
11/7/2011,Texas Christian Horned Frogs,0.37431500259551975
11/7/2011,Quinnipiac Bobcats,0.4145372873903194
