Year,Team,Player,Stats,Played,ID
2011,Air Force Falcons,Michael Lyons,30,31,michael-lyons-1
2011,Air Force Falcons,Tom Fow,32,32,tom-fow-1
2011,Air Force Falcons,Derek Brooks,1,32,derek-brooks-1
2011,Air Force Falcons,Evan Washington,32,32,evan-washington-1
2011,Air Force Falcons,Taylor Broekhuis,29,30,taylor-broekhuis-1
2011,Air Force Falcons,Todd Fletcher,32,32,todd-fletcher-1
2011,Air Force Falcons,Mike Fitzgerald,0,32,mike-fitzgerald-1
2011,Air Force Falcons,Zach Bohannon,1,22,zach-bohannon-1
2011,Air Force Falcons,Taylor Stewart,2,28,taylor-stewart-1
2011,Air Force Falcons,Shawn Hempsey,0,25,shawn-hempsey-1
2011,Air Force Falcons,Adam Brakeville,1,19,adam-brakeville-1
2011,Air Force Falcons,Kyle Green,0,5,kyle-green-1
2011,Air Force Falcons,Scott Stucky,0,2,scott-stucky-1
2011,Akron Zips,Nikola Cvetinovic,36,36,nikola-cvetinovic-1
2011,Akron Zips,Brett McClanahan,35,36,brett-mcclanahan-1
2011,Akron Zips,Steve McNees,36,36,steve-mcnees-1
2011,Akron Zips,Zeke Marshall,35,36,zeke-marshall-1
2011,Akron Zips,Darryl Roberts,21,36,darryl-roberts-1
2011,Akron Zips,Brett Mcknight,0,29,brett-mcknight-1
2011,Akron Zips,Alex Abreu,15,36,alex-abreu-1
2011,Akron Zips,Quincy Diggs,1,36,quincy-diggs-1
2011,Akron Zips,Mike Bardo,1,36,mike-bardo-1
2011,Akron Zips,Josh Egner,0,19,josh-egner-1
2011,Akron Zips,Dakotah Euton,0,14,dakotah-euton-1
2011,Akron Zips,Kyle Petersen,0,7,kyle-petersen-1
2011,Akron Zips,C.J. Oldham,0,8,cj-oldham-1
2011,Alabama A&M Bulldogs,Casey Cantey,20,28,casey-cantey-1
2011,Alabama A&M Bulldogs,Cornelius Hester,25,28,cornelius-hester-1
2011,Alabama A&M Bulldogs,Demarquelle Tabb,7,26,demarquelle-tabb-1
2011,Alabama A&M Bulldogs,Bo Amusa,21,28,bo-amusa-1
2011,Alabama A&M Bulldogs,Jeremy Crutcher,22,28,jeremy-crutcher-1
2011,Alabama A&M Bulldogs,Desmond Jackson,3,28,desmond-jackson-1
2011,Alabama A&M Bulldogs,Jonathan Inman,1,22,jonathan-inman-1
2011,Alabama A&M Bulldogs,Jerome Hunter,28,28,jerome-hunter-1
2011,Alabama A&M Bulldogs,Diamon Alexander,7,25,diamon-alexander-1
2011,Alabama A&M Bulldogs,Jabari Deshields,2,28,jabari-deshields-1
2011,Alabama A&M Bulldogs,Reggie Porter,4,19,reggie-porter-1
2011,Alabama A&M Bulldogs,Brandon Ellis,0,12,brandon-ellis-1
2011,Alabama A&M Bulldogs,Reginald Martin,0,9,reginald-martin-1
2011,Alabama Crimson Tide,Tony Mitchell,32,37,tony-mitchell-3
2011,Alabama Crimson Tide,JaMychal Green,33,34,jamychal-green-1
2011,Alabama Crimson Tide,Trevor Releford,36,37,trevor-releford-1
2011,Alabama Crimson Tide,Charvez Davis,27,37,charvez-davis-1
2011,Alabama Crimson Tide,Senario Hillman,13,37,senario-hillman-1
2011,Alabama Crimson Tide,Chris Hines,36,37,chris-hines-2
2011,Alabama Crimson Tide,Andrew Steele,2,19,andrew-steele-1
2011,Alabama Crimson Tide,Charles Hankerson,5,26,charles-hankerson-jr-1
2011,Alabama Crimson Tide,Ben Eblen,1,37,ben-eblen-1
2011,Alabama Crimson Tide,Jason Carter,0,16,jason-carter-4
2011,Alabama Crimson Tide,Kendall Durant,0,8,kendall-durant-1
2011,Alabama Crimson Tide,Carl Engstrom,0,21,carl-engstrom-1
2011,Alabama Crimson Tide,Justin Luquire,0,9,justin-luquire-1
2011,Alabama State Hornets,Kenderek Washington,29,32,kenderek-washington-1
2011,Alabama State Hornets,Tramaine Butler,17,26,tramaine-butler-1
2011,Alabama State Hornets,Ivory White,20,35,ivory-white-1
2011,Alabama State Hornets,Tramayne Moorer,0,16,tramayne-moorer-1
2011,Alabama State Hornets,Christopher Duncan,26,28,christopher-duncan-1
2011,Alabama State Hornets,Jeffery Middlebrooks,26,35,jeffery-middlebrooks-1
2011,Alabama State Hornets,Robert Sanders,22,35,robert-sanders-1
2011,Alabama State Hornets,Shareif Adamu,16,31,shareif-adamu-1
2011,Alabama State Hornets,Kaylim Noel,0,23,kaylim-noel-1
2011,Alabama State Hornets,Ivan Johnson,1,25,ivan-johnson-2
2011,Alabama State Hornets,Ryan Watts,0,26,ryan-watts-1
2011,Alabama State Hornets,Stephawn Brown,3,16,stephawn-brown-1
2011,Alabama State Hornets,Patrick Davis,6,16,patrick-davis-1
2011,Alabama-Birmingham Blazers,Jamarr Sanders,31,31,jamarr-sanders-1
2011,Alabama-Birmingham Blazers,Cameron Moore,24,28,cameron-moore-1
2011,Alabama-Birmingham Blazers,Aaron Johnson,30,31,aaron-johnson-2
2011,Alabama-Birmingham Blazers,Ovie Soko,29,30,ovie-soko-1
2011,Alabama-Birmingham Blazers,Dexter Fields,12,31,dexter-fields-1
2011,Alabama-Birmingham Blazers,Preston Purifoy,2,31,preston-purifoy-1
2011,Alabama-Birmingham Blazers,Quincy Taylor,5,31,quincy-taylor-1
2011,Alabama-Birmingham Blazers,Anthony Criswell,8,21,anthony-criswell-1
2011,Alabama-Birmingham Blazers,Robert Williams,12,28,robert-williams-2
2011,Alabama-Birmingham Blazers,Beas Hamga,1,15,beas-hamga-1
2011,Alabama-Birmingham Blazers,Mike Jones,0,11,mike-jones-5
2011,Alabama-Birmingham Blazers,Karl Moton,0,7,karl-moton-1
2011,Albany Great Danes,Tim Ambrose,29,32,tim-ambrose-1
2011,Albany Great Danes,Logan Aronhalt,30,32,logan-aronhalt-1
2011,Albany Great Danes,Mike Black,25,28,mike-black-1
2011,Albany Great Danes,Luke Devlin,30,32,luke-devlin-1
2011,Albany Great Danes,Blake Metcalf,6,32,blake-metcalf-1
2011,Albany Great Danes,Ralph Watts,2,31,ralph-watts-1
2011,Albany Great Danes,John Puk,25,32,john-puk-1
2011,Albany Great Danes,Jacob Iati,5,29,jacob-iati-1
2011,Albany Great Danes,Billy Allen,1,29,billy-allen-1
2011,Albany Great Danes,Jake Lindfors,0,22,jake-lindfors-1
2011,Albany Great Danes,Derrek Tartt,0,16,derrek-tartt-1
2011,Albany Great Danes,Russell Moore,2,4,russell-moore-1
2011,Albany Great Danes,Theo Hatcher,0,1,theo-hatcher-1
2011,Alcorn State Braves,Marquiz Baker,25,28,marquiz-baker-1
2011,Alcorn State Braves,Kendrick McDonald,25,28,kendrick-mcdonald-1
2011,Alcorn State Braves,Jamar Ragland,8,25,jamar-ragland-1
2011,Alcorn State Braves,Willis Brownlee,9,28,willis-brownlee-1
2011,Alcorn State Braves,Ian Francis,14,28,ian-francis-1
2011,Alcorn State Braves,Korey Sanders,19,28,korey-sanders-1
2011,Alcorn State Braves,Alex Savannah,2,26,alex-savannah-1
2011,Alcorn State Braves,Keith Searcy,7,24,keith-searcy-1
2011,Alcorn State Braves,Michael Starks,17,22,michael-starks-1
2011,Alcorn State Braves,Shaunvanta Ingram,7,21,shaunvanta-ingram-1
2011,Alcorn State Braves,Tony Eackles,1,25,tony-eackles-1
2011,Alcorn State Braves,Chris Davenport,6,10,chris-davenport-1
2011,Alcorn State Braves,Michael Martin,0,23,michael-martin-1
2011,American Eagles,Vlad Moldoveanu,30,30,vlad-moldoveanu-1
2011,American Eagles,Stephen Lumpkins,30,31,stephen-lumpkins-1
2011,American Eagles,Troy Brewer,31,31,troy-brewer-1
2011,American Eagles,Nick Hendra,31,31,nick-hendra-1
2011,American Eagles,Charles Hinkle,0,23,charles-hinkle-2
2011,American Eagles,Daniel Munoz,1,31,daniel-munoz-1
2011,American Eagles,Steve Luptak,30,31,steve-luptak-1
2011,American Eagles,Simon McCormack,1,30,simon-mccormack-1
2011,American Eagles,Tony Wroblicky,0,30,tony-wroblicky-1
2011,American Eagles,Mike Bersch,1,7,mike-bersch-1
2011,American Eagles,Jordan Borucki,0,5,jordan-borucki-1
2011,American Eagles,Blake Jolivette,0,7,blake-jolivette-1
2011,American Eagles,Joe Hill,0,7,joe-hill-1
2011,Appalachian State Mountaineers,Donald Sims,31,31,donald-sims-1
2011,Appalachian State Mountaineers,Omar Carter,31,31,omar-carter-1
2011,Appalachian State Mountaineers,Andre Williamson,29,31,andre-williamson-1
2011,Appalachian State Mountaineers,Jeremi Booth,14,29,jeremi-booth-1
2011,Appalachian State Mountaineers,Petey Hausley,16,30,petey-hausley-1
2011,Appalachian State Mountaineers,Marcus Wright,12,26,marcus-wright-1
2011,Appalachian State Mountaineers,Nathan Healy,2,30,nathan-healy-1
2011,Appalachian State Mountaineers,Anthony Breeze,3,14,anthony-breeze-1
2011,Appalachian State Mountaineers,Mitch Woods,16,26,mitch-woods-1
2011,Appalachian State Mountaineers,Anthony Thomas,0,8,anthony-thomas-6
2011,Appalachian State Mountaineers,J.R. Archer,1,7,jr-archer-1
2011,Appalachian State Mountaineers,Griffin Shaw,0,8,griffin-shaw-1
2011,Appalachian State Mountaineers,Jacob Lail,0,8,jacob-lail-1
2011,Arizona State Sun Devils,Trent Lockett,29,29,trent-lockett-1
2011,Arizona State Sun Devils,Ty Abbott,29,29,ty-abbott-1
2011,Arizona State Sun Devils,Rihards Kuksiks,22,27,rihards-kuksiks-1
2011,Arizona State Sun Devils,Jamelle McMillan,28,28,jamelle-mcmillan-1
2011,Arizona State Sun Devils,Kyle Cain,23,31,kyle-cain-1
2011,Arizona State Sun Devils,Carrick Felix,8,30,carrick-felix-1
2011,Arizona State Sun Devils,Keala King,0,29,keala-king-1
2011,Arizona State Sun Devils,Ruslan Pateev,8,30,ruslan-pateev-1
2011,Arizona State Sun Devils,Chanse Creekmur,4,27,chanse-creekmur-1
2011,Arizona State Sun Devils,Jordan Bachynski,0,24,jordan-bachynski-1
2011,Arizona State Sun Devils,Corey Hawkins,1,24,corey-hawkins-1
2011,Arizona State Sun Devils,Brandon Dunson,2,18,brandon-dunson-1
2011,Arizona State Sun Devils,Marcus Jackson,1,9,marcus-jackson-4
2011,Arizona Wildcats,Derrick Williams,38,38,derrick-williams-2
2011,Arizona Wildcats,MoMo Jones,38,38,lamont-jones-1
2011,Arizona Wildcats,Kyle Fogg,34,38,kyle-fogg-1
2011,Arizona Wildcats,Solomon Hill,38,38,solomon-hill-1
2011,Arizona Wildcats,Kevin Parrom,3,38,kevin-parrom-1
2011,Arizona Wildcats,Jesse Perry,25,38,jesse-perry-1
2011,Arizona Wildcats,Jamelle Horne,13,38,jamelle-horne-1
2011,Arizona Wildcats,Jordin Mayes,0,38,jordin-mayes-1
2011,Arizona Wildcats,Brendon Lavender,1,38,brendon-lavender-1
2011,Arizona Wildcats,Kyryl Natyazhko,0,38,kyryl-natyazhko-1
2011,Arizona Wildcats,Alex Jacobson,0,17,alex-jacobson-1
2011,Arizona Wildcats,Daniel Bejarano,0,8,daniel-bejarano-1
2011,Arizona Wildcats,Max Wiepking,0,8,max-wiepking-1
2011,Arkansas Razorbacks,Rotnei Clarke,31,31,rotnei-clarke-1
2011,Arkansas Razorbacks,Marshawn Powell,18,28,marshawn-powell-1
2011,Arkansas Razorbacks,Delvon Johnson,31,31,delvon-johnson-1
2011,Arkansas Razorbacks,Julysses Nobles,12,31,julysses-nobles-1
2011,Arkansas Razorbacks,Jeff Peterson,23,29,jeff-peterson-2
2011,Arkansas Razorbacks,Marcus Britt,16,30,marcus-britt-1
2011,Arkansas Razorbacks,Glenn Bryant,7,31,glenn-bryant-1
2011,Arkansas Razorbacks,Mardracus Wade,3,31,mardracus-wade-1
2011,Arkansas Razorbacks,Marvell Waithe,5,23,marvell-waithe-1
2011,Arkansas Razorbacks,Michael Sanchez,1,20,michael-sanchez-1
2011,Arkansas Razorbacks,Jemal Farmer,3,18,jemal-farmer-1
2011,Arkansas Razorbacks,Rickey Scott,5,13,rickey-scott-1
2011,Arkansas Razorbacks,Kikko Haydar,0,9,kikko-haydar-1
2011,Arkansas State Red Wolves,Martavius Adams,31,32,martavius-adams-1
2011,Arkansas State Red Wolves,Donald Boone,32,32,donald-boone-1
2011,Arkansas State Red Wolves,Rashad Allison,32,32,rashad-allison-1
2011,Arkansas State Red Wolves,Trey Finn,31,31,trey-finn-1
2011,Arkansas State Red Wolves,Brandon Peterson,29,31,brandon-peterson-2
2011,Arkansas State Red Wolves,Malcoln Kirkland,1,32,malcoln-kirkland-1
2011,Arkansas State Red Wolves,Edward Townsel,0,32,edward-townsel-1
2011,Arkansas State Red Wolves,Jeremy Thomas,3,32,jeremy-thomas-1
2011,Arkansas State Red Wolves,Adam Sterrenberg,1,30,adam-sterrenberg-1
2011,Arkansas State Red Wolves,Daniel Bryant,0,9,daniel-bryant-1
2011,Arkansas State Red Wolves,Kinley Branch,0,9,kinley-branch-1
2011,Arkansas State Red Wolves,Chano Rashiduddin,0,8,chano-rashiduddin-1
2011,Arkansas-Little Rock Trojans,Solomon Bozeman,35,36,solomon-bozeman-1
2011,Arkansas-Little Rock Trojans,Alex Garcia-Mendoza,36,36,alex-garcia-mendoza-1
2011,Arkansas-Little Rock Trojans,Matt Mouzy,2,36,matt-mouzy-1
2011,Arkansas-Little Rock Trojans,Daylon Guy,4,36,daylon-guy-1
2011,Arkansas-Little Rock Trojans,D'Andre Williams,33,36,dandre-williams-1
2011,Arkansas-Little Rock Trojans,Courtney Jackson,18,28,courtney-jackson-1
2011,Arkansas-Little Rock Trojans,Eric Kibi,12,29,eric-kibi-1
2011,Arkansas-Little Rock Trojans,Montrell Thornton,12,34,montrell-thornton-1
2011,Arkansas-Little Rock Trojans,Marlon Louzeiro,19,31,marlon-louzeiro-1
2011,Arkansas-Little Rock Trojans,Derrick Bails,1,28,derrick-bails-1
2011,Arkansas-Little Rock Trojans,Tramar Sutherland,0,34,tramar-sutherland-1
2011,Arkansas-Little Rock Trojans,Gus Leeper,8,29,gus-leeper-1
2011,Arkansas-Little Rock Trojans,Reggie Sonnier,0,5,reggie-sonnier-1
2011,Arkansas-Pine Bluff Golden Lions,Allen Smith,29,31,allen-smith-1
2011,Arkansas-Pine Bluff Golden Lions,Savalance Townsend,26,30,savalance-townsend-1
2011,Arkansas-Pine Bluff Golden Lions,Terrell Kennedy,14,28,terrell-kennedy-1
2011,Arkansas-Pine Bluff Golden Lions,Daniel Broughton,22,27,daniel-broughton-1
2011,Arkansas-Pine Bluff Golden Lions,Gavin Montgomery,23,31,gavin-montgomery-1
2011,Arkansas-Pine Bluff Golden Lions,Ricky Parks,16,22,ricky-parks-1
2011,Arkansas-Pine Bluff Golden Lions,Marcel Mosley,4,31,marcel-mosley-1
2011,Arkansas-Pine Bluff Golden Lions,Lavoris Weathers,8,21,lavoris-weathers-1
2011,Arkansas-Pine Bluff Golden Lions,Clay Johnson,1,25,clay-johnson-2
2011,Arkansas-Pine Bluff Golden Lions,Dominic Moore,10,14,dominic-moore-1
2011,Arkansas-Pine Bluff Golden Lions,Keith Ross,0,4,keith-ross-1
2011,Arkansas-Pine Bluff Golden Lions,Anthony Jones,0,12,anthony-jones-7
2011,Arkansas-Pine Bluff Golden Lions,Antonio Ootesey,2,18,antonio-ootesey-1
2011,Army Black Knights,Jeremy Hence,28,30,jeremy-hence-1
2011,Army Black Knights,Ella Ellis,29,30,ella-ellis-1
2011,Army Black Knights,Julian Simmons,22,30,julian-simmons-1
2011,Army Black Knights,Josh Herbeck,7,29,josh-herbeck-1
2011,Army Black Knights,Jason Pancoe,18,24,jason-pancoe-1
2011,Army Black Knights,Mitch McDonald,12,29,mitch-mcdonald-1
2011,Army Black Knights,Nathan Hedgecock,7,24,nathan-hedgecock-1
2011,Army Black Knights,Chris Welker,1,30,chris-welker-1
2011,Army Black Knights,Jordan Springer,18,30,jordan-springer-1
2011,Army Black Knights,Cartavious Kincade,2,22,cartavious-kincade-1
2011,Army Black Knights,Alex Godette,2,13,alex-godette-1
2011,Army Black Knights,C.J. McElrath,0,17,cj-mcelrath-1
2011,Army Black Knights,Brian Hornstein,0,13,brian-hornstein-1
2011,Auburn Tigers,Earnest Ross,26,31,earnest-ross-1
2011,Auburn Tigers,Kenny Gabriel,20,31,kenny-gabriel-1
2011,Auburn Tigers,Rob Chubb,15,29,rob-chubb-1
2011,Auburn Tigers,Josh Wallace,27,31,josh-wallace-1
2011,Auburn Tigers,Allen Payne,19,31,allen-payne-1
2011,Auburn Tigers,Josh Langford,12,31,josh-langford-1
2011,Auburn Tigers,Andre Malone,10,11,andre-malone-1
2011,Auburn Tigers,Chris Denson,3,20,chris-denson-1
2011,Auburn Tigers,Adrian Forbes,14,28,adrian-forbes-1
2011,Auburn Tigers,Tony Neysmith,5,29,tony-neysmith-1
2011,Auburn Tigers,Frankie Sullivan,4,6,frankie-sullivan-1
2011,Auburn Tigers,Ty Armstrong,0,12,ty-armstrong-1
2011,Auburn Tigers,Jake Drum,0,11,jake-drum-1
2011,Austin Peay State Governors,TyShwan Edmondson,29,33,tyshwan-edmondson-1
2011,Austin Peay State Governors,Josh Terry,27,33,josh-terry-1
2011,Austin Peay State Governors,John Fraley,34,34,john-fraley-1
2011,Austin Peay State Governors,Caleb Brown,34,34,caleb-brown-1
2011,Austin Peay State Governors,Melvin Baker,23,34,melvin-baker-1
2011,Austin Peay State Governors,Will Triggs,10,34,will-triggs-1
2011,Austin Peay State Governors,Justin Blake,2,34,justin-blake-1
2011,Austin Peay State Governors,Anthony Campbell,10,10,anthony-campbell-1
2011,Austin Peay State Governors,Tyrone Caldwell,0,34,tyrone-caldwell-1
2011,Austin Peay State Governors,Marcel Williams,1,34,marcel-williams-1
2011,Austin Peay State Governors,Alton Williams,0,9,alton-williams-1
2011,Austin Peay State Governors,Matt Hasse,0,12,matt-hasse-1
2011,Austin Peay State Governors,Joe Harms,0,1,joe-harms-1
2011,Ball State Cardinals,Jarrod Jones,31,32,jarrod-jones-1
2011,Ball State Cardinals,Jauwan Scaife,31,32,jauwan-scaife-1
2011,Ball State Cardinals,Randy Davis,32,32,randy-davis-1
2011,Ball State Cardinals,Jesse Berry,12,32,jesse-berry-1
2011,Ball State Cardinals,Chris Bond,11,30,chris-bond-1
2011,Ball State Cardinals,Malik Perry,31,32,malik-perry-1
2011,Ball State Cardinals,Tyrae Robinson,2,30,tyrae-robinson-1
2011,Ball State Cardinals,Pierre Sneed,9,31,pierre-sneed-1
2011,Ball State Cardinals,Matt Kamieniecki,1,23,matt-kamieniecki-1
2011,Ball State Cardinals,Zach Fields,0,12,zach-fields-1
2011,Ball State Cardinals,Maurice Hubbard,0,4,maurice-hubbard-1
2011,Ball State Cardinals,Franklin Henderson,0,1,franklin-henderson-1
2011,Ball State Cardinals,Adrian Tucker,0,4,adrian-tucker-1
2011,Baylor Bears,LaceDarius Dunn,26,28,lacedarius-dunn-1
2011,Baylor Bears,Perry Jones,29,30,perry-jones-1
2011,Baylor Bears,Quincy Acy,18,31,quincy-acy-1
2011,Baylor Bears,Anthony Jones,29,31,anthony-jones-2
2011,Baylor Bears,A.J. Walton,28,30,aj-walton-1
2011,Baylor Bears,Fred Ellis,4,31,fred-ellis-1
2011,Baylor Bears,J'mison Morgan,14,31,jmison-morgan-1
2011,Baylor Bears,Stargell Love,1,24,stargell-love-1
2011,Baylor Bears,Nolan Dennis,1,15,nolan-dennis-1
2011,Baylor Bears,Dragan Sekelja,0,8,dragan-sekelja-1
2011,Baylor Bears,Jacob Neubert,0,6,jacob-neubert-1
2011,Baylor Bears,Levi Norwood,0,1,levi-norwood-1
2011,Belmont Bruins,Ian Clark,35,35,ian-clark-1
2011,Belmont Bruins,Mick Hedgepeth,35,35,mick-hedgepeth-1
2011,Belmont Bruins,Scott Saunders,0,35,scott-saunders-1
2011,Belmont Bruins,Jordan Campbell,0,35,jordan-campbell-1
2011,Belmont Bruins,Kerron Johnson,0,35,kerron-johnson-1
2011,Belmont Bruins,Drew Hanlen,35,35,drew-hanlen-1
2011,Belmont Bruins,J.J. Mann,0,35,jj-mann-1
2011,Belmont Bruins,Jon House,35,35,jon-house-1
2011,Belmont Bruins,Trevor Noack,22,35,trevor-noack-1
2011,Belmont Bruins,Blake Jenkins,1,34,blake-jenkins-1
2011,Belmont Bruins,Brandon Baker,12,35,brandon-baker-1
2011,Belmont Bruins,Adam Barnes,0,29,adam-barnes-1
2011,Bethune Cookman Wildcats,Clifford Reed,33,34,cj-reed-1
2011,Bethune Cookman Wildcats,Garrius Holloman,24,34,garrius-holloman-1
2011,Bethune Cookman Wildcats,Alexander Starling,33,33,alexander-starling-1
2011,Bethune Cookman Wildcats,Kevin Dukes,3,34,kevin-dukes-1
2011,Bethune Cookman Wildcats,Javoris Bryant,33,34,javoris-bryant-1
2011,Bethune Cookman Wildcats,Stanley Elliott,32,34,stanley-elliott-1
2011,Bethune Cookman Wildcats,Mikel Trapp,0,33,mikel-trapp-1
2011,Bethune Cookman Wildcats,Albert Abrahams,10,26,albert-abrahams-1
2011,Bethune Cookman Wildcats,Aric Miller,1,28,aric-miller-1
2011,Bethune Cookman Wildcats,Raymoan McAfee,1,29,raymoan-mcafee-1
2011,Bethune Cookman Wildcats,Dion Hudson,0,3,dion-hudson-1
2011,Binghamton Bearcats,Moussa Camara,18,31,moussa-camara-1
2011,Binghamton Bearcats,Greer Wright,21,25,greer-wright-1
2011,Binghamton Bearcats,Mahamoud Jabbi,31,31,mahamoud-jabbi-1
2011,Binghamton Bearcats,Jimmy Gray,20,31,jimmy-gray-1
2011,Binghamton Bearcats,Kyrie Sutton,11,29,kyrie-sutton-1
2011,Binghamton Bearcats,Chretien Lukusa,14,30,chretien-lukusa-1
2011,Binghamton Bearcats,Robert Mansell,4,29,robert-mansell-1
2011,Binghamton Bearcats,Taylor Johnston,21,26,taylor-johnston-1
2011,Binghamton Bearcats,Alex Ogundadegbe,13,27,alex-ogundadegbe-1
2011,Binghamton Bearcats,K.J. Brown,0,12,kj-brown-1
2011,Binghamton Bearcats,Javon Ralling,0,14,javon-ralling-1
2011,Binghamton Bearcats,Preston Pena,2,5,preston-pena-1
2011,Boise State Broncos,La'Shard Anderson,34,35,lashard-anderson-1
2011,Boise State Broncos,Robert Arnold,33,35,robert-arnold-1
2011,Boise State Broncos,Daequon Montreal,34,35,daequon-montreal-1
2011,Boise State Broncos,Paul Noonan,10,35,paul-noonan-1
2011,Boise State Broncos,Westly Perryman,13,35,westly-perryman-1
2011,Boise State Broncos,Ryan Watkins,21,35,ryan-watkins-1
2011,Boise State Broncos,Thomas Bropleh,1,34,thomas-bropleh-1
2011,Boise State Broncos,Tre Nichols,1,28,tre-nichols-1
2011,Boise State Broncos,Zack Moritz,3,33,zack-moritz-1
2011,Boise State Broncos,Jeff Elorriaga,11,30,jeff-elorriaga-1
2011,Boise State Broncos,Sean Imadiyi,8,28,sean-imadiyi-1
2011,Boise State Broncos,Sam Hicks,0,7,sam-hicks-1
2011,Boise State Broncos,Justin Salzwedel,1,11,justin-salzwedel-1
2011,Boston College Eagles,Reggie Jackson,32,34,reggie-jackson-1
2011,Boston College Eagles,Joe Trapani,34,34,joe-trapani-1
2011,Boston College Eagles,Corey Raji,11,32,corey-raji-1
2011,Boston College Eagles,Biko Paris,33,33,biko-paris-1
2011,Boston College Eagles,Josh Southern,19,33,josh-southern-1
2011,Boston College Eagles,Danny Rubin,23,29,danny-rubin-1
2011,Boston College Eagles,Gabriel Moton,2,34,gabriel-moton-1
2011,Boston College Eagles,Dallas Elmore,2,34,dallas-elmore-1
2011,Boston College Eagles,John Cahill,6,27,john-cahill-1
2011,Boston College Eagles,Cortney Dunn,8,22,cortney-dunn-1
2011,Boston College Eagles,Peter Rehnquist,0,10,peter-rehnquist-1
2011,Boston College Eagles,Chris Kowalski,0,15,chris-kowalski-1
2011,Boston College Eagles,Nick Mosakowski,0,10,nick-mosakowski-1
2011,Boston University Terriers,John Holland,32,34,john-holland-1
2011,Boston University Terriers,Darryl Partin,29,35,darryl-partin-1
2011,Boston University Terriers,D.J. Irving,31,35,dj-irving-1
2011,Boston University Terriers,Matt Griffin,5,35,matt-griffin-1
2011,Boston University Terriers,Dom Morris,18,32,dom-morris-1
2011,Boston University Terriers,Jake O'Brien,14,15,jake-obrien-1
2011,Boston University Terriers,Patrick Hazel,30,35,patrick-hazel-1
2011,Boston University Terriers,Jeff Pelage,8,23,jeff-pelage-1
2011,Boston University Terriers,Travis Robinson,2,28,travis-robinson-2
2011,Boston University Terriers,Mike Terry,5,29,mike-terry--1
2011,Boston University Terriers,Henry Gaskins,0,2,henry-gaskins-1
2011,Boston University Terriers,Chris Kurz,0,9,chris-kurz-1
2011,Bowling Green State Falcons,A'uston Calhoun,18,33,auston-calhoun-1
2011,Bowling Green State Falcons,Scott Thomas,31,32,scott-thomas-1
2011,Bowling Green State Falcons,Dee Brown,24,33,dee-brown-3
2011,Bowling Green State Falcons,Jordon Crawford,9,33,jordon-crawford-1
2011,Bowling Green State Falcons,Danny McElroy,13,32,danny-mcelroy-1
2011,Bowling Green State Falcons,Cameron Black,17,31,cameron-black-1
2011,Bowling Green State Falcons,Luke Kraus,10,33,luke-kraus-1
2011,Bowling Green State Falcons,Joe Jakubowski,25,33,joe-jakubowski-1
2011,Bowling Green State Falcons,Torian Oglesby,16,27,torian-oglesby-1
2011,Bowling Green State Falcons,Craig Sealey,2,20,craig-sealey-1
2011,Bowling Green State Falcons,Mike Dabney,0,16,mike-dabney-1
2011,Bowling Green State Falcons,James Erger,0,25,james-erger-1
2011,Bowling Green State Falcons,Wiley Roberts,0,5,wiley-roberts-1
2011,Bradley Braves,Andrew Warren,32,32,andrew-warren-1
2011,Bradley Braves,Dodie Dunson,31,31,dodie-dunson-1
2011,Bradley Braves,Dyricus Simms-Edwards,27,30,dyricus-simms-edwards-1
2011,Bradley Braves,Will Egolf,31,32,will-egolf-1
2011,Bradley Braves,Walt Lemon,5,31,walt-lemon--1
2011,Bradley Braves,Jordan Prosser,24,31,jordan-prosser-1
2011,Bradley Braves,Jake Eastman,2,29,jake-eastman-1
2011,Bradley Braves,Sam Maniscalco,6,6,sam-maniscalco-1
2011,Bradley Braves,Milos Knezevic,0,25,milos-knezevic-1
2011,Bradley Braves,Anthony Thompson,1,26,anthony-thompson-1
2011,Bradley Braves,Charonn Woods,0,12,charonn-woods-1
2011,Bradley Braves,Aaron Ganson,0,2,aaron-ganson-1
2011,Brown Bears,Tucker Halpern,24,28,tucker-halpern-1
2011,Brown Bears,Sean McGonagill,27,28,sean-mcgonagill-1
2011,Brown Bears,Peter Sullivan,20,23,peter-sullivan-1
2011,Brown Bears,Garrett Leffelman,24,27,garrett-leffelman-1
2011,Brown Bears,Adrian Williams,6,28,adrian-williams-1
2011,Brown Bears,Andrew McCarthy,15,28,andrew-mccarthy-1
2011,Brown Bears,Matt Sullivan,7,27,matt-sullivan-1
2011,Brown Bears,Dockery Walker,10,25,dockery-walker-1
2011,Brown Bears,Tyler Ponticelli,2,23,tyler-ponticelli-1
2011,Brown Bears,Christopher Taylor,4,24,christopher-taylor-1
2011,Brown Bears,Josh Biber,1,14,josh-biber-1
2011,Bryant University Bulldogs,Alex Francis,23,30,alex-francis-1
2011,Bryant University Bulldogs,Cecil Gresham,21,27,cecil-gresham-1
2011,Bryant University Bulldogs,Frankie Dobbs,29,30,frankie-dobbs-2
2011,Bryant University Bulldogs,Matthew Lee,5,29,matthew-lee-2
2011,Bryant University Bulldogs,Vlad Kondratyev,19,29,vlad-kondratyev-1
2011,Bryant University Bulldogs,Raphael Jordan,16,30,raphael-jordan-1
2011,Bryant University Bulldogs,Corey Maynard,5,30,corey-maynard-1
2011,Bryant University Bulldogs,Barry Latham,25,30,barry-latham-1
