Date,Home,Away,Nutral Site
11/8/2010,Pittsburgh(2K Sports Classic),Rhode Island Rams,
11/8/2010,Maryland Terrapins,Seattle University Red Hawks,
11/8/2010,Texas(2K Sports Classic),Navy Midshipmen,
11/9/2010,Belmont Bruins,Northern St.,
11/10/2010,Maryland(2K Sports Classic),College of Charleston Cougars,
11/10/2010,Texas(2K Sports Classic),Louisiana Tech Bulldogs,
11/12/2010,Indiana Hoosiers,Florida Gulf Coast Eagles,
11/12/2010,Florida Gators,North Carolina-Wilmington Seahawks,
11/12/2010,North Carolina Central Eagles,Lipscomb Bison,
11/12/2010,Kentucky Wildcats,East Tennessee State Buccaneers,
11/12/2010,Xavier Musketeers,Western Michigan Broncos,
11/12/2010,Old Dominion Monarchs,Georgetown Hoyas,
11/12/2010,Connecticut Huskies,Stony Brook Seawolves,
11/12/2010,Mercer Bears,Oglethorpe,
11/12/2010,Georgia Bulldogs,Mississippi Valley State Delta Devils,
11/12/2010,Massachusetts Minutemen,Rider Broncs,
11/12/2010,Nebraska Cornhuskers,South Dakota Coyotes,
11/12/2010,Kansas Jayhawks,Longwood Lancers,
11/12/2010,Eastern Illinois Panthers,South Dakota State Jackrabbits,
11/12/2010,Michigan State Spartans,Eastern Michigan Eagles,
11/12/2010,Saint Louis Billikens,Austin Peay State Governors,
11/12/2010,Loyola-Chicago Ramblers,Eastern Kentucky Colonels,
11/12/2010,Kansas St.(CBE Classic),James Madison Dukes,
11/12/2010,South Carolina Gamecocks,Elon Phoenix,
11/12/2010,Tennessee Volunteers,Tennessee-Chattanooga Moccasins,
11/12/2010,Marquette Golden Eagles,Prairie View A&M Panthers,
11/12/2010,Southern Illinois-Edwardsville Cougars,IPFW,
11/12/2010,Gonzaga Bulldogs,Southern University A&M Jaguars,
11/12/2010,Utah State Aggies,Weber State Wildcats,
11/12/2010,Colorado Buffaloes,Idaho State Bengals,
11/13/2010,Butler Bulldogs,Marian,
11/13/2010,Pittsburgh Panthers,North Florida Ospreys,
11/13/2010,Siena College Saints,Vermont Catamounts,
11/13/2010,Evansville Aces,Oakland Golden Grizzlies,
11/13/2010,Illinois Fighting Illini,Southern Illinois Salukis,
11/13/2010,Drake Bulldogs,Texas Southern Tigers,
11/14/2010,Seton Hall Pirates,Cornell Big Red,
11/14/2010,Maryland Terrapins,Maine Black Bears,
11/14/2010,Marquette Golden Eagles,Bucknell Bison,
11/14/2010,Iowa State Cyclones,Alabama State Hornets,
11/14/2010,Syracuse Orange,Canisius Golden Griffins,
11/14/2010,Iowa Hawkeyes,South Dakota State Jackrabbits,
11/14/2010,North Carolina-Greensboro Spartans,Florida State Seminoles,
11/14/2010,Gonzaga Bulldogs,Indiana-Purdue Jaguars,
11/14/2010,Rider Broncs,Lafayette College Leopards,
11/14/2010,Duke(CBE Classic),Princeton Tigers,
11/14/2010,Purdue Boilermakers,Howard Bison,
11/14/2010,Arizona Wildcats,Idaho State Bengals,
11/14/2010,DePaul Blue Demons,Chicago State Cougars,
11/14/2010,Indiana Hoosiers,Wright State Raiders,
11/14/2010,Oregon Ducks,California-Santa Barbara Gauchos,
11/15/2010,Wake Forest(NIT Tip Off),Hampton,
11/15/2010,Cincinnati Bearcats,Mount Saint Marys Mountaineers,
11/15/2010,South Florida Bulls,Saint Francis-New York Terriers,
11/15/2010,Kennesaw State Owls,Georgia Tech Yellow Jackets,
11/15/2010,Western Kentucky Hilltoppers,Alabama A&M Bulldogs,
11/15/2010,Kansas Jayhawks,Valparaiso Crusaders,
11/15/2010,Oklahoma Sooners,North Carolina Tar Heels,
11/15/2010,Texas A&M-Corpus Christi Islanders,Texas A&M Aggies,
11/15/2010,Minnesota Golden Gophers,Siena College Saints,
11/15/2010,UCLA(NIT Tip Off),Pepperdine Waves,
11/16/2010,St. Mary's,Saint Johns Red Storm,
11/16/2010,Hawaii Rainbow Warriors,Central Michigan Chippewas,
11/16/2010,Monmouth-New Jersey Hawks,Stony Brook Seawolves,
11/16/2010,Kent State Golden Flashes,Robert Morris Colonials,
11/16/2010,Southern Illinois Salukis,Northeastern Huskies,
11/16/2010,Tulsa Golden Hurricane,Oral Roberts Golden Eagles,
11/16/2010,Baylor Bears,La Salle Explorers,
11/16/2010,Kansas State Wildcats,Virginia Tech Hokies,
11/16/2010,Villanova(NIT Tip Off),Marist Red Foxes,
11/16/2010,Florida Gators,Ohio State Buckeyes,
11/16/2010,Indiana Hoosiers,Mississippi Valley State Delta Devils,
11/16/2010,Georgia Bulldogs,Colorado Buffaloes,
11/16/2010,Xavier Musketeers,IPFW,
11/16/2010,Florida State Seminoles,Gardner Webb Runnin Bulldogs,
11/16/2010,Duke(CBE Classic),Miami-Ohio Redhawks,
11/16/2010,Louisville Cardinals,Butler Bulldogs,
11/16/2010,Texas Christian Horned Frogs,Southern Methodist Mustangs,
11/16/2010,Northern Iowa Panthers,Coe,
11/16/2010,Bradley Braves,Northern Illinois Huskies,
11/16/2010,Dayton Flyers,Akron Zips,
11/16/2010,Tennessee(NIT Tip Off),Belmont Bruins,
11/16/2010,Michigan State Spartans,South Carolina Gamecocks,
11/16/2010,New Mexico Lobos,Arizona State Sun Devils,
11/16/2010,Washington Huskies,Eastern Washington Eagles,
11/16/2010,Gonzaga(CBE Classic),San Diego State Aztecs,
11/16/2010,UCLA(NIT Tip Off),Pacific Tigers,
11/17/2010,Purdue Boilermakers,Alcorn State Braves,
11/17/2010,Loyola-Maryland Greyhounds,Maryland-Baltimore County Retrievers,
11/17/2010,Connecticut Huskies,Vermont Catamounts,
11/17/2010,Lafayette College Leopards,Saint Francis-Pennsylvania Red Flash,
11/17/2010,Massachusetts Minutemen,Sacred Heart Pioneers,
11/17/2010,Mississippi Rebels,Murray State Racers,
11/17/2010,Iowa State Cyclones,Drake Bulldogs,
11/17/2010,Middle Tennessee State Blue Raiders,Alabama-Birmingham Blazers,
11/17/2010,Brigham Young Cougars,Utah State Aggies,
11/17/2010,Marquette Golden Eagles,Wisconsin-Green Bay Phoenix,
11/17/2010,Seattle University Red Hawks,Oregon State Beavers,
