Date,Home,Away,Nutral Site
11/18/2010,West Virginia Mountaineers,Davidson College Wildcats,"at San Juan, PR"
11/18/2010,Coastal Carolina Chanticleers,Georgetown Hoyas,"at Charleston, SC"
11/18/2010,Vanderbilt Commodores,Nebraska Cornhuskers,"at San Juan, PR"
11/18/2010,Wofford Terriers,South Carolina-Upstate Spartans,"at Charleston, SC"
11/18/2010,North Carolina Central Eagles,Hofstra Pride,"at San Juan, PR"
11/18/2010,North Carolina State Wolfpack,East Carolina Pirates,"at Charleston, SC"
11/18/2010,Maryland Terrapins,Pittsburgh Panthers,"at New York, NY"
11/18/2010,Central Florida Knights,South Florida Bulls,
11/18/2010,Michigan Wolverines,Bowling Green State Falcons,
11/18/2010,Florida Gators,North Carolina A&T Aggies,
11/18/2010,Kansas State Wildcats,Presbyterian Blue Hose,
11/18/2010,Louisiana State Tigers,Tennessee-Martin Skyhawks,
11/18/2010,Oklahoma Sooners,Texas Southern Tigers,
11/18/2010,Missouri Tigers,Western Illinois Leathernecks,
11/18/2010,Loyola-Chicago Ramblers,Eastern Illinois Panthers,
11/18/2010,Arizona Wildcats,New Mexico State Aggies,
11/18/2010,George Mason Patriots,North Carolina-Charlotte 49ers,"at Charleston, SC"
11/18/2010,Texas Longhorns,Illinois Fighting Illini,"at New York, NY"
11/18/2010,Denver Pioneers,Colorado State Rams,
11/18/2010,Stanford Cardinal,Virginia Cavaliers,
11/19/2010,Coastal Carolina Chanticleers,South Carolina-Upstate Spartans,"at Charleston, SC"
11/19/2010,Vanderbilt Commodores,West Virginia Mountaineers,"at San Juan, PR"
11/19/2010,Wofford Terriers,Georgetown Hoyas,"at Charleston, SC"
11/19/2010,Illinois Fighting Illini,Maryland Terrapins,"at New York, NY"
11/19/2010,George Mason Patriots,North Carolina State Wolfpack,"at Charleston, SC"
11/19/2010,Texas Longhorns,Pittsburgh Panthers,"at New York, NY"
11/19/2010,South Carolina Gamecocks,Radford Highlanders,
11/19/2010,Miami-Florida Hurricanes,North Carolina Tar Heels,
11/19/2010,Penn State Nittany Lions,Fairfield Stags,
11/19/2010,Kansas Jayhawks,North Texas Mean Green Eagles,
11/19/2010,Tulsa Golden Hurricane,Missouri State Bears,
11/19/2010,North Carolina Central Eagles,Minnesota Golden Gophers,"at San Juan, PR"
11/19/2010,North Carolina-Charlotte 49ers,East Carolina Pirates,"at Charleston, SC"
11/19/2010,Northern Arizona Lumberjacks,Southwestern Arizona,
11/19/2010,San Diego Toreros,Boise State Broncos,
11/19/2010,Portland Pilots,Kentucky Wildcats,
11/20/2010,Hawaii Rainbow Warriors,Central Arkansas Bears,
11/20/2010,Cincinnati Bearcats,IPFW,
11/20/2010,Butler Bulldogs,Ball State Cardinals,
11/20/2010,Quinnipiac Bobcats,Vermont Catamounts,
11/20/2010,Mercer Bears,Harvard Crimson,
11/20/2010,Missouri Tigers,North Florida Ospreys,
11/20/2010,UNLV Rebels,Wisconsin Badgers,
11/20/2010,Louisville Cardinals,Jackson State Tigers,
11/20/2010,Ohio State Buckeyes,North Carolina-Wilmington Seahawks,
11/20/2010,Oral Roberts Golden Eagles,Indiana State Sycamores,
11/20/2010,Wisconsin-Milwaukee Panthers,Northern Iowa Panthers,
11/20/2010,Saint Louis Billikens,Georgia Bulldogs,
11/20/2010,Missouri-Kansas City Kangaroos,Southeast Missouri St.,
11/20/2010,Brigham Young Cougars,Chicago State Cougars,
11/21/2010,Nebraska Cornhuskers,Hofstra Pride,"at San Juan, PR"
11/21/2010,Western Kentucky Hilltoppers,Davidson College Wildcats,"at San Juan, PR"
11/21/2010,Indiana Hoosiers,Evansville Aces,
11/21/2010,North Carolina-Greensboro Spartans,Virginia Tech Hokies,
11/21/2010,Stony Brook Seawolves,Wagner Seahawks,
11/21/2010,Syracuse Orange,William & Mary Tribe,
11/21/2010,Rutgers Scarlet Knights,Miami-Florida Hurricanes,
11/21/2010,South Florida Bulls,Georgia Southern Eagles,
11/21/2010,Texas Tech Red Raiders,Liberty University Flames,
11/21/2010,Florida Gators,Morehead State Eagles,
11/21/2010,Memphis Tigers,Louisiana State Tigers,"at Tupelo, MS"
11/21/2010,Arizona Wildcats,Northern Colorado Bears,
11/21/2010,North Carolina Central Eagles,Vanderbilt Commodores,"at San Juan, PR"
11/21/2010,Wofford Terriers,George Mason Patriots,"at Charleston, SC"
11/21/2010,Clemson Tigers,Old Dominion Monarchs,"at St. Thomas, VI"
11/21/2010,Auburn Tigers,Middle Tennessee State Blue Raiders,
11/21/2010,West Virginia Mountaineers,Minnesota Golden Gophers,"at San Juan, PR"
11/21/2010,North Carolina State Wolfpack,Georgetown Hoyas,"at Charleston, SC"
11/21/2010,Seton Hall Pirates,Xavier Musketeers,"at St. Thomas, VI"
11/22/2010,Wichita State Shockers,Connecticut Huskies,"at Maui, HI"
11/22/2010,Kentucky Wildcats,Oklahoma Sooners,"at Maui, HI"
11/22/2010,Clemson Tigers,Seton Hall Pirates,"at St. Thomas, VI"
11/22/2010,Penn State Nittany Lions,Central Connecticut State Blue Devils,
11/22/2010,Marquette Golden Eagles,Duke Blue Devils,"at Kansas City, MO"
11/22/2010,Xavier Musketeers,Old Dominion Monarchs,"at St. Thomas, VI"
11/22/2010,Gonzaga Bulldogs,Kansas State Wildcats,"at Kansas City, MO"
11/22/2010,Chaminade,Michigan State Spartans,"at Maui, HI"
11/23/2010,Chaminade,Wichita State Shockers,"at Maui, HI"
11/23/2010,Virginia Cavaliers,Oklahoma Sooners,"at Maui, HI"
11/23/2010,La Salle Explorers,Providence Friars,"at Cancun, Mexico"
11/23/2010,Michigan State Spartans,Connecticut Huskies,"at Maui, HI"
11/23/2010,Wyoming Cowboys,Missouri Tigers,"at Cancun, Mexico"
11/23/2010,Indiana Hoosiers,North Carolina Tar Heels,
11/23/2010,North Carolina Central Eagles,North Carolina-Asheville Bulldogs,
11/23/2010,South Carolina Gamecocks,South Carolina-Upstate Spartans,
11/23/2010,Florida State Seminoles,Mercer Bears,
11/23/2010,Florida Gators,Florida Atlantic Owls,
11/23/2010,Pittsburgh Panthers,Robert Morris Colonials,
11/23/2010,South Florida Bulls,Liberty University Flames,
11/23/2010,Siena College Saints,Butler Bulldogs,
11/23/2010,Gonzaga Bulldogs,Marquette Golden Eagles,"at Kansas City, MO"
11/23/2010,Memphis Tigers,Tennessee-Martin Skyhawks,
11/23/2010,Texas Longhorns,Sam Houston State Bearkats,
11/23/2010,Kansas Jayhawks,Texas A&M-Corpus Christi Islanders,
11/23/2010,North Dakota Fighting Hawks,IPFW,
11/23/2010,Arizona Wildcats,Bethune Cookman Wildcats,
11/23/2010,Washington Huskies,Kentucky Wildcats,"at Maui, HI"
11/23/2010,Brigham Young Cougars,Mississippi Valley State Delta Devils,
11/23/2010,Colorado Buffaloes,Alcorn State Braves,
11/23/2010,Kansas State Wildcats,Duke Blue Devils,"at Kansas City, MO"
11/23/2010,Oregon Ducks,Texas Southern Tigers,
11/23/2010,Washington State Cougars,Portland Pilots,"at Seattle, WA"
11/23/2010,"Washington(at Maui, HI)",Virginia Cavaliers,
11/24/2010,Chaminade,Oklahoma Sooners,"at Maui, HI"
11/24/2010,Washington Huskies,Michigan State Spartans,"at Maui, HI"
11/24/2010,Tennessee Volunteers,Virginia Commonwealth Rams,"at New York, NY"
11/24/2010,Providence Friars,Wyoming Cowboys,"at Cancun, Mexico"
11/24/2010,Akron Zips,Cleveland State Vikings,
11/24/2010,Cincinnati Bearcats,Savannah State Tigers,
11/24/2010,Massachusetts Minutemen,American International,
11/24/2010,Vermont Catamounts,Loyola-Maryland Greyhounds,
11/24/2010,Virginia Cavaliers,Wichita State Shockers,"at Maui, HI"
11/24/2010,Oral Roberts Golden Eagles,UALR,
11/24/2010,Middle Tennessee State Blue Raiders,Evansville Aces,
11/24/2010,Villanova Wildcats,UCLA Bruins,"at New York, NY"
11/24/2010,La Salle Explorers,Missouri Tigers,"at Cancun, Mexico"
11/24/2010,Kentucky Wildcats,Connecticut Huskies,"at Maui, HI"
11/24/2010,Oregon State Beavers,North Carolina-Charlotte 49ers,
11/24/2010,Drake Bulldogs,Southern Utah Thunderbirds,"at Anchorage, AK)"
11/25/2010,Saint Johns Red Storm,Ball State Cardinals,"at Anchorage, AK"
11/25/2010,Texas A&M Aggies,Boston College Eagles,"at Orlando, FL"
11/25/2010,Manhattan Jaspers,Wisconsin Badgers,"at Orlando, FL"
11/25/2010,CS Northridge,Virginia Tech Hokies,"at Anaheim, CA"
11/25/2010,Oklahoma State Cowboys,DePaul Blue Demons,"at Anaheim, CA"
11/25/2010,Notre Dame Fighting Irish,Georgia Bulldogs,"at Orlando, FL"
11/25/2010,California Golden Bears,Temple Owls,"at Orlando, FL"
11/25/2010,Stanford Cardinal,Murray State Racers,"at Anaheim, CA"
11/25/2010,Arizona State Sun Devils,Houston Baptist Huskies,"at Anchorage, AK"
11/25/2010,UNLV Rebels,Tulsa Golden Hurricane,"at Anaheim, CA"
11/25/2010,UA-Anchorage,Weber State Wildcats,"at Anchorage, AK"
11/25/2010,Hawaii Rainbow Warriors,Arkansas-Pine Bluff Golden Lions,
11/26/2010,Wisconsin Badgers,Boston College Eagles,"at Orlando, FL"
11/26/2010,Oklahoma State Cowboys,Virginia Tech Hokies,"at Anaheim, CA"
11/26/2010,UCLA Bruins,Virginia Commonwealth Rams,"at New York, NY"
11/26/2010,Texas A&M Aggies,Manhattan Jaspers,"at Orlando, FL"
11/26/2010,Ohio State Buckeyes,Miami-Ohio Redhawks,
11/26/2010,Villanova Wildcats,Tennessee Volunteers,"at New York, NY"
11/26/2010,Georgia Bulldogs,Notre Dame Fighting Irish,"at Orlando, FL"
11/26/2010,CS Northridge,DePaul Blue Demons,"at Anaheim, CA"
11/26/2010,Texas-El Paso Miners,Georgia Tech Yellow Jackets,"at Atlantic City, NJ"
11/26/2010,South Florida Bulls,Brigham Young Cougars,"at South Padre Island, TX"
11/26/2010,Iowa Hawkeyes,Southern Illinois-Edwardsville Cougars,
11/26/2010,Temple Owls,Georgia Bulldogs,"at Orlando, FL"
11/26/2010,Kansas State Wildcats,Texas Southern Tigers,
11/26/2010,Syracuse Orange,Michigan Wolverines,"at Atlantic City, NJ"
11/26/2010,Maryland Terrapins,Elon Phoenix,
11/26/2010,Kansas Jayhawks,Ohio Bobcats,"at Las Vegas, NV"
11/26/2010,Arkansas Razorbacks,Alabama-Birmingham Blazers,"at North Little Rock, AR"
11/26/2010,Purdue Boilermakers,Southern Illinois Salukis,"at Hoffman Estates, IL"
11/26/2010,St. Mary's,Texas Tech Red Raiders,"at South Padre Island, TX"
11/26/2010,UNLV Rebels,Murray State Racers,"at Anaheim, CA"
11/26/2010,Saint Johns Red Storm,Drake Bulldogs,"at Anchorage, AK"
11/26/2010,Arizona Wildcats,Santa Clara Broncos,"at Las Vegas, NV"
11/26/2010,Tulsa Golden Hurricane,Stanford Cardinal,"at Anaheim, CA"
11/26/2010,Weber State Wildcats,Arizona State Sun Devils,"at Anchorage, AK"
11/27/2010,Louisville Cardinals,Marshall Thundering Herd,
11/27/2010,Saint Louis Billikens,Indiana-Purdue Jaguars,
11/27/2010,Butler Bulldogs,Evansville Aces,
11/27/2010,Iowa State Cyclones,Montana State Bobcats,
11/27/2010,Massachusetts Minutemen,Holy Cross Crusaders,
11/27/2010,Oregon Ducks,Duke Blue Devils,"at Portland, OR"
11/27/2010,Texas Longhorns,Rice University Owls,
11/27/2010,Michigan Wolverines,Texas-El Paso Miners,"at Atlantic City, NJ"
11/27/2010,Nebraska Cornhuskers,Southern California Trojans,
11/27/2010,North Carolina State Wolfpack,Farleigh Dickinson,
11/27/2010,Purdue Boilermakers,Richmond Spiders,"at Hoffman Estates, IL"
11/27/2010,Xavier Musketeers,Wofford Terriers,
11/27/2010,Western Kentucky Hilltoppers,South Carolina Gamecocks,
11/27/2010,West Virginia Mountaineers,Virginia Military Keydets,"at Charleston, WV"
11/27/2010,"BYU(at South Padre Island, TX)",St. Mary's,
11/27/2010,Syracuse Orange,Georgia Tech Yellow Jackets,"at Atlantic City, NJ"
11/27/2010,Wisconsin-Milwaukee Panthers,Marquette Golden Eagles,
11/27/2010,Drake Bulldogs,Weber State Wildcats,"at Anchorage, AK"
11/27/2010,Kansas Jayhawks,Arizona Wildcats,"at Las Vegas, NV"
11/28/2010,Temple Owls,Texas A&M Aggies,"at Orlando, FL"
11/28/2010,California Golden Bears,Boston College Eagles,"at Orlando, FL"
11/28/2010,Michigan State Spartans,Tennessee Tech Golden Eagles,
11/28/2010,New Mexico Lobos,San Diego Toreros,
11/28/2010,Penn State Nittany Lions,Furman  Paladins,
11/28/2010,CS Northridge,Tulsa Golden Hurricane,"at Anaheim, CA"
11/28/2010,South Alabama Jaguars,Louisiana State Tigers,"at Mobile, AL"
11/28/2010,Missouri Tigers,Arkansas-Pine Bluff Golden Lions,
11/28/2010,Georgia Bulldogs,Manhattan Jaspers,"at Orlando, FL"
11/28/2010,Southern Illinois-Edwardsville Cougars,Morehead State Eagles,
11/28/2010,North Carolina Central Eagles,College of Charleston Cougars,
11/28/2010,Murray State Racers,Oklahoma State Cowboys,"at Anaheim, CA"
11/28/2010,Notre Dame Fighting Irish,Wisconsin Badgers,"at Orlando, FL"
11/28/2010,Florida State Seminoles,Florida Gators,
11/28/2010,Northwestern Wildcats,Creighton Blue Jays,
11/28/2010,UNLV Rebels,Virginia Tech Hokies,"at Anaheim, CA"
11/28/2010,Saint Johns Red Storm,Arizona State Sun Devils,"at Anchorage, AK"
11/29/2010,Minnesota Golden Gophers,Virginia Cavaliers,
11/29/2010,Seton Hall Pirates,Saint Peters Peacocks,
11/29/2010,Rider Broncs,Hofstra Pride,
11/29/2010,Kansas State Wildcats,Emporia St.,
11/29/2010,Texas Christian Horned Frogs,Southern California Trojans,
11/30/2010,Northwestern Wildcats,Georgia Tech Yellow Jackets,
11/30/2010,Wake Forest Demon Deacons,Iowa Hawkeyes,
11/30/2010,Miami-Florida Hurricanes,Mississippi Rebels,
11/30/2010,Kentucky Wildcats,Boston University Terriers,
11/30/2010,Syracuse Orange,Cornell Big Red,
11/30/2010,Lafayette College Leopards,Princeton Tigers,
11/30/2010,Florida State Seminoles,Ohio State Buckeyes,
11/30/2010,Tennessee Volunteers,Middle Tennessee State Blue Raiders,
11/30/2010,Connecticut Huskies,New Hamphire,
11/30/2010,Clemson Tigers,Michigan Wolverines,
11/30/2010,Missouri Tigers,Georgetown Hoyas,Post Season
11/30/2010,Colorado Buffaloes,UTPA,
11/30/2010,Gonzaga Bulldogs,Eastern Washington Eagles,
11/30/2010,New Mexico State Aggies,Texas-El Paso Miners,
11/30/2010,Illinois Fighting Illini,North Carolina Central Eagles,
11/30/2010,Washington Huskies,California State-Long Beach 49ers,
12/1/2010,Central Florida Knights,Florida Gators,at Amway Center
12/1/2010,South Carolina Gamecocks,Delaware State Hornets,
12/1/2010,Miami-Ohio Redhawks,Xavier Musketeers,
12/1/2010,Drexel Dragons,Saint Josephs-Pennsylvania Hawks,
12/1/2010,West Virginia Mountaineers,American Eagles,
12/1/2010,Providence Friars,Northeastern Huskies,
12/1/2010,South Florida Bulls,Virginia Commonwealth Rams,
12/1/2010,Lafayette College Leopards,Susquehanna,
12/1/2010,Old Dominion Monarchs,Richmond Spiders,
12/1/2010,Dayton Flyers,East Tennessee State Buccaneers,
12/1/2010,Vermont Catamounts,Dartmouth College Big Green,
12/1/2010,Longwood Lancers,James Madison Dukes,
12/1/2010,Wisconsin Badgers,North Carolina State Wolfpack,
12/1/2010,Boston College Eagles,Indiana Hoosiers,
12/1/2010,Virginia Tech Hokies,Purdue Boilermakers,
12/1/2010,Rice University Owls,Arizona Wildcats,
12/1/2010,Colorado State Rams,Drake Bulldogs,
12/1/2010,Texas Longhorns,Lamar Cardinals,
12/1/2010,Arkansas Razorbacks,Oklahoma Sooners,
12/1/2010,Creighton Blue Jays,Brigham Young Cougars,
12/1/2010,Loyola-Chicago Ramblers,Butler Bulldogs,
12/1/2010,Northern Iowa Panthers,Iowa State Cyclones,
12/1/2010,Denver Pioneers,Utah State Aggies,
12/1/2010,Vanderbilt Commodores,Western Kentucky Hilltoppers,
12/1/2010,Penn State Nittany Lions,Maryland Terrapins,
12/1/2010,Pittsburgh Panthers,Duquesne Dukes,
12/1/2010,Duke Blue Devils,Michigan State Spartans,
12/1/2010,San Diego State Aztecs,St. Mary's,
12/1/2010,California Golden Bears,California-Davis Aggies,
12/2/2010,Baylor Bears,Arizona State Sun Devils,
12/2/2010,High Point Panthers,Gardner Webb Runnin Bulldogs,
12/2/2010,Hartford Hawks,Brown Bears,
12/2/2010,Eastern Kentucky Colonels,Murray State Racers,
12/2/2010,Texas A&M Aggies,Stephen F. Austin State Lumberjacks,
12/2/2010,Illinois-Chicago Flames,Valparaiso Crusaders,
12/2/2010,Wisconsin-Green Bay Phoenix,Cleveland State Vikings,
12/2/2010,DePaul Blue Demons,Northern Illinois Huskies,
12/2/2010,Kansas Jayhawks,UCLA Bruins,
12/2/2010,Liberty University Flames,Presbyterian Blue Hose,
12/2/2010,Oregon Ducks,Missouri Tigers,
12/3/2010,Georgia Bulldogs,Alabama-Birmingham Blazers,
12/3/2010,Connecticut Huskies,Maryland-Baltimore County Retrievers,
12/3/2010,Villanova Wildcats,Saint Josephs-Pennsylvania Hawks,
12/3/2010,Washington State Cougars,Kansas State Wildcats,
12/4/2010,Georgetown Hoyas,Utah State Aggies,
12/4/2010,Virginia Commonwealth Rams,William & Mary Tribe,
12/4/2010,Detroit-Mercy Titans,Wright State Raiders,
12/4/2010,North Carolina Central Eagles,Kentucky Wildcats,
12/4/2010,Michigan Wolverines,Harvard Crimson,
12/4/2010,Tennessee-Chattanooga Moccasins,Western Carolina Catamounts,
12/4/2010,Louisville Cardinals,South Alabama Jaguars,
12/4/2010,Iowa State Cyclones,California Golden Bears,
12/4/2010,Texas Christian Horned Frogs,Northern Iowa Panthers,
12/4/2010,Vanderbilt Commodores,Belmont Bruins,
12/4/2010,Pittsburgh Panthers,Rider Broncs,
12/4/2010,Sam Houston State Bearkats,Houston Cougars,
12/4/2010,Duke Blue Devils,Butler Bulldogs,Post Season
12/4/2010,Purdue Boilermakers,Alabama Crimson Tide,
12/4/2010,Washington Huskies,Texas Tech Red Raiders,
12/4/2010,Northeastern Huskies,Drexel Dragons,
12/4/2010,Miami-Florida Hurricanes,West Virginia Mountaineers,
12/4/2010,Providence Friars,Rhode Island Rams,
12/4/2010,Loyola-Chicago Ramblers,Valparaiso Crusaders,
12/4/2010,Gonzaga Bulldogs,Illinois Fighting Illini,Post Season
12/4/2010,Syracuse Orange,North Carolina State Wolfpack,
12/4/2010,Indiana Hoosiers,Savannah State Tigers,
12/4/2010,Penn State Nittany Lions,Duquense,
12/4/2010,College of Charleston Cougars,Georgia Southern Eagles,
12/4/2010,Brigham Young Cougars,Hawaii Rainbow Warriors,"at Salt Lake City, UT"
12/4/2010,Southern Methodist Mustangs,Grambling St.,
12/4/2010,Massachusetts Minutemen,Boston College Eagles,at TD Banknorth Garden
12/4/2010,Denver Pioneers,CS Northridge,
12/4/2010,Wyoming Cowboys,Indiana State Sycamores,
12/4/2010,Siena College Saints,Albany Great Danes,
12/4/2010,Liberty University Flames,Winthrop Eagles,
12/4/2010,Eastern Illinois Panthers,Austin Peay State Governors,
12/4/2010,Vermont Catamounts,Yale Bulldogs,
12/4/2010,George Mason Patriots,North Carolina-Wilmington Seahawks,
12/4/2010,Morehead State Eagles,Murray State Racers,
12/4/2010,Minnesota Golden Gophers,Cornell Big Red,
12/4/2010,Mississippi Rebels,Southern Mississippi Golden Eagles,
12/4/2010,Texas A&M Aggies,Pacific Tigers,
12/4/2010,Illinois State Redbirds,Montana State Bobcats,
12/4/2010,Memphis Tigers,Western Kentucky Hilltoppers,
12/4/2010,Wisconsin-Milwaukee Panthers,Cleveland State Vikings,
12/4/2010,Dayton Flyers,Miami-Ohio Redhawks,
12/4/2010,Bradley Braves,Utah Utes,
12/4/2010,New Mexico State Aggies,New Mexico Lobos,
12/4/2010,Colorado Buffaloes,Oregon State Beavers,
12/4/2010,San Diego State Aztecs,Wichita State Shockers,
12/4/2010,Loyola-Marymount Lions,Cal Poly-Slo Mustangs,
12/5/2010,Arizona State Sun Devils,Richmond Spiders,
12/5/2010,Nebraska Cornhuskers,Creighton Blue Jays,
12/5/2010,American Eagles,Florida Gators,"at Washington, DC"
12/5/2010,Air Force Falcons,Evansville Aces,
12/5/2010,Arizona Wildcats,Oklahoma Sooners,
12/5/2010,South Carolina Gamecocks,Clemson Tigers,
12/5/2010,Navy Midshipmen,George Washington Colonials,"at Washington, DC"
12/5/2010,Virginia Tech Hokies,Virginia Cavaliers,
12/5/2010,Oregon Ducks,Portland State Vikings,
12/5/2010,Florida State Seminoles,Hartford Hawks,
12/5/2010,Maryland Terrapins,Temple Owls,"at Washington, DC"
12/5/2010,Southern California Trojans,Texas Longhorns,
12/6/2010,Michigan Wolverines,Concordia (MI),
12/6/2010,Kansas State Wildcats,Alcorn State Braves,
12/6/2010,Houston Cougars,Nevada Wolf Pack,
12/6/2010,Iowa State Cyclones,Southeast Missouri St.,
12/6/2010,Washington Huskies,Portland Pilots,
12/7/2010,Memphis Tigers,Kansas Jayhawks,"at New York, NY"
12/7/2010,Georgia Tech Yellow Jackets,Georgia Bulldogs,
12/7/2010,Dayton Flyers,Central Connecticut State Blue Devils,
12/7/2010,College of Charleston Cougars,East Tennessee State Buccaneers,
12/7/2010,Saint Johns Red Storm,Saint Bonaventure Bonnies,
12/7/2010,West Virginia Mountaineers,Robert Morris Colonials,
12/7/2010,Iowa Hawkeyes,Northern Iowa Panthers,
12/7/2010,Michigan State Spartans,Syracuse Orange,"at New York, NY"
